Date,Product Name,Quantity
2023-06-21,"Famille Sichel Sirius AOC Bordeaux Rouge, 2019",1
2023-06-22,"Famille Sichel Sirius AOC Bordeaux Rouge, 2019",1
2023-06-26,"Famille Sichel Sirius AOC Bordeaux Rouge, 2019",3
2023-06-28,"Famille Sichel Sirius AOC Bordeaux Rouge, 2019",1
2023-07-03,"Famille Sichel Sirius AOC Bordeaux Rouge, 2019",2
2023-07-11,"Famille Sichel Sirius AOC Bordeaux Rouge, 2019",2
2023-07-24,"Famille Sichel Sirius AOC Bordeaux Rouge, 2019",1
2023-07-31,"Famille Sichel Sirius AOC Bordeaux Rouge, 2019",1
2023-08-06,"Famille Sichel Sirius AOC Bordeaux Rouge, 2019",1
2023-08-07,"Famille Sichel Sirius AOC Bordeaux Rouge, 2019",6
2023-08-12,"Famille Sichel Sirius AOC Bordeaux Rouge, 2019",1
2023-08-16,"Famille Sichel Sirius AOC Bordeaux Rouge, 2019",1
