Date,Product Name,Quantity
2023-01-24,254 The Grinch - 330ml (returnable bottles),2
2023-01-25,254 The Grinch - 330ml (returnable bottles),2
2023-01-26,254 The Grinch - 330ml (returnable bottles),1
2023-01-27,254 The Grinch - 330ml (returnable bottles),1
2023-01-28,254 The Grinch - 330ml (returnable bottles),1
2023-01-29,254 The Grinch - 330ml (returnable bottles),1
2023-02-01,254 The Grinch - 330ml (returnable bottles),2
2023-02-02,254 The Grinch - 330ml (returnable bottles),2
2023-02-03,254 The Grinch - 330ml (returnable bottles),4
2023-02-06,254 The Grinch - 330ml (returnable bottles),1
2023-02-08,254 The Grinch - 330ml (returnable bottles),4
2023-02-11,254 The Grinch - 330ml (returnable bottles),3
2023-02-13,254 The Grinch - 330ml (returnable bottles),1
2023-02-16,254 The Grinch - 330ml (returnable bottles),2
2023-02-19,254 The Grinch - 330ml (returnable bottles),3
2023-02-23,254 The Grinch - 330ml (returnable bottles),2
2023-02-24,254 The Grinch - 330ml (returnable bottles),7
2023-02-28,254 The Grinch - 330ml (returnable bottles),2
2023-03-01,254 The Grinch - 330ml (returnable bottles),4
2023-03-03,254 The Grinch - 330ml (returnable bottles),6
2023-03-06,254 The Grinch - 330ml (returnable bottles),4
2023-03-09,254 The Grinch - 330ml (returnable bottles),2
2023-03-10,254 The Grinch - 330ml (returnable bottles),5
2023-03-11,254 The Grinch - 330ml (returnable bottles),5
2023-03-13,254 The Grinch - 330ml (returnable bottles),3
2023-03-17,254 The Grinch - 330ml (returnable bottles),2
