Date,Product Name,Quantity
2021-09-02,254 Makmende Hazy Sheriff IPA - 330ml (returnable bottles),3
2021-09-03,254 Makmende Hazy Sheriff IPA - 330ml (returnable bottles),2
2021-09-07,254 Makmende Hazy Sheriff IPA - 330ml (returnable bottles),7
2021-09-09,254 Makmende Hazy Sheriff IPA - 330ml (returnable bottles),3
2021-09-11,254 Makmende Hazy Sheriff IPA - 330ml (returnable bottles),3
2021-09-14,254 Makmende Hazy Sheriff IPA - 330ml (returnable bottles),2
2021-09-16,254 Makmende Hazy Sheriff IPA - 330ml (returnable bottles),6
2021-09-17,254 Makmende Hazy Sheriff IPA - 330ml (returnable bottles),5
2021-09-18,254 Makmende Hazy Sheriff IPA - 330ml (returnable bottles),2
2021-09-24,254 Makmende Hazy Sheriff IPA - 330ml (returnable bottles),2
2021-09-25,254 Makmende Hazy Sheriff IPA - 330ml (returnable bottles),6
2021-09-28,254 Makmende Hazy Sheriff IPA - 330ml (returnable bottles),6
2021-09-29,254 Makmende Hazy Sheriff IPA - 330ml (returnable bottles),5
