Date,Product Name,Quantity
2023-03-18,Six Square Frozen Sweet Corn - 250g,2
2023-03-19,Six Square Frozen Sweet Corn - 250g,1
2023-03-20,Six Square Frozen Sweet Corn - 250g,3
2023-03-21,Six Square Frozen Sweet Corn - 250g,2
2023-03-22,Six Square Frozen Sweet Corn - 250g,1
2023-03-23,Six Square Frozen Sweet Corn - 250g,2
2023-03-24,Six Square Frozen Sweet Corn - 250g,3
2023-03-25,Six Square Frozen Sweet Corn - 250g,4
2023-03-26,Six Square Frozen Sweet Corn - 250g,2
2023-03-28,Six Square Frozen Sweet Corn - 250g,4
2023-03-29,Six Square Frozen Sweet Corn - 250g,2
2023-03-30,Six Square Frozen Sweet Corn - 250g,1
2023-04-02,Six Square Frozen Sweet Corn - 250g,2
2023-04-03,Six Square Frozen Sweet Corn - 250g,3
2023-04-04,Six Square Frozen Sweet Corn - 250g,2
2023-04-05,Six Square Frozen Sweet Corn - 250g,1
2023-04-06,Six Square Frozen Sweet Corn - 250g,2
2023-04-07,Six Square Frozen Sweet Corn - 250g,3
2023-04-08,Six Square Frozen Sweet Corn - 250g,1
2023-04-09,Six Square Frozen Sweet Corn - 250g,1
2023-04-11,Six Square Frozen Sweet Corn - 250g,2
2023-04-12,Six Square Frozen Sweet Corn - 250g,1
2023-04-13,Six Square Frozen Sweet Corn - 250g,1
2023-04-14,Six Square Frozen Sweet Corn - 250g,3
2023-04-15,Six Square Frozen Sweet Corn - 250g,1
2023-04-16,Six Square Frozen Sweet Corn - 250g,1
2023-04-17,Six Square Frozen Sweet Corn - 250g,4
2023-04-18,Six Square Frozen Sweet Corn - 250g,3
2023-04-20,Six Square Frozen Sweet Corn - 250g,1
2023-04-21,Six Square Frozen Sweet Corn - 250g,1
2023-04-24,Six Square Frozen Sweet Corn - 250g,6
2023-04-25,Six Square Frozen Sweet Corn - 250g,3
2023-04-26,Six Square Frozen Sweet Corn - 250g,2
2023-04-28,Six Square Frozen Sweet Corn - 250g,1
2023-04-29,Six Square Frozen Sweet Corn - 250g,3
2023-04-30,Six Square Frozen Sweet Corn - 250g,2
2023-05-01,Six Square Frozen Sweet Corn - 250g,2
2023-05-02,Six Square Frozen Sweet Corn - 250g,2
2023-05-03,Six Square Frozen Sweet Corn - 250g,1
2023-05-04,Six Square Frozen Sweet Corn - 250g,2
2023-05-06,Six Square Frozen Sweet Corn - 250g,6
2023-05-07,Six Square Frozen Sweet Corn - 250g,4
2023-05-09,Six Square Frozen Sweet Corn - 250g,1
2023-05-11,Six Square Frozen Sweet Corn - 250g,2
2023-05-13,Six Square Frozen Sweet Corn - 250g,1
2023-05-14,Six Square Frozen Sweet Corn - 250g,2
2023-05-15,Six Square Frozen Sweet Corn - 250g,4
2023-05-16,Six Square Frozen Sweet Corn - 250g,2
2023-05-17,Six Square Frozen Sweet Corn - 250g,1
2023-05-19,Six Square Frozen Sweet Corn - 250g,2
2023-05-20,Six Square Frozen Sweet Corn - 250g,2
2023-11-09,Six Square Frozen Sweet Corn - 250g,1
2023-11-10,Six Square Frozen Sweet Corn - 250g,5
2023-11-12,Six Square Frozen Sweet Corn - 250g,2
2023-11-13,Six Square Frozen Sweet Corn - 250g,7
2023-11-15,Six Square Frozen Sweet Corn - 250g,2
2023-11-17,Six Square Frozen Sweet Corn - 250g,1
2023-11-18,Six Square Frozen Sweet Corn - 250g,1
2023-11-20,Six Square Frozen Sweet Corn - 250g,5
2023-11-21,Six Square Frozen Sweet Corn - 250g,2
2023-11-22,Six Square Frozen Sweet Corn - 250g,10
2023-11-23,Six Square Frozen Sweet Corn - 250g,3
2023-11-27,Six Square Frozen Sweet Corn - 250g,2
2023-11-29,Six Square Frozen Sweet Corn - 250g,1
2023-12-01,Six Square Frozen Sweet Corn - 250g,4
2023-12-02,Six Square Frozen Sweet Corn - 250g,2
2023-12-04,Six Square Frozen Sweet Corn - 250g,3
2023-12-05,Six Square Frozen Sweet Corn - 250g,3
2023-12-06,Six Square Frozen Sweet Corn - 250g,4
2023-12-07,Six Square Frozen Sweet Corn - 250g,1
2023-12-10,Six Square Frozen Sweet Corn - 250g,1
2023-12-11,Six Square Frozen Sweet Corn - 250g,5
2023-12-12,Six Square Frozen Sweet Corn - 250g,1
2023-12-13,Six Square Frozen Sweet Corn - 250g,2
2023-12-14,Six Square Frozen Sweet Corn - 250g,2
2023-12-15,Six Square Frozen Sweet Corn - 250g,3
2023-12-18,Six Square Frozen Sweet Corn - 250g,2
2023-12-19,Six Square Frozen Sweet Corn - 250g,4
2023-12-20,Six Square Frozen Sweet Corn - 250g,2
2023-12-22,Six Square Frozen Sweet Corn - 250g,1
2023-12-25,Six Square Frozen Sweet Corn - 250g,1
2023-12-26,Six Square Frozen Sweet Corn - 250g,1
2023-12-28,Six Square Frozen Sweet Corn - 250g,3
2023-12-29,Six Square Frozen Sweet Corn - 250g,3
2023-12-31,Six Square Frozen Sweet Corn - 250g,2
2024-01-01,Six Square Frozen Sweet Corn - 250g,1
2024-01-03,Six Square Frozen Sweet Corn - 250g,3
2024-01-04,Six Square Frozen Sweet Corn - 250g,4
2024-01-05,Six Square Frozen Sweet Corn - 250g,1
2024-01-06,Six Square Frozen Sweet Corn - 250g,3
2024-01-08,Six Square Frozen Sweet Corn - 250g,4
2024-01-09,Six Square Frozen Sweet Corn - 250g,4
2024-01-10,Six Square Frozen Sweet Corn - 250g,1
2024-01-11,Six Square Frozen Sweet Corn - 250g,1
2024-01-12,Six Square Frozen Sweet Corn - 250g,2
2024-01-13,Six Square Frozen Sweet Corn - 250g,2
2024-01-14,Six Square Frozen Sweet Corn - 250g,6
2024-01-15,Six Square Frozen Sweet Corn - 250g,3
2024-01-16,Six Square Frozen Sweet Corn - 250g,4
2024-01-17,Six Square Frozen Sweet Corn - 250g,2
2024-01-18,Six Square Frozen Sweet Corn - 250g,2
2024-01-20,Six Square Frozen Sweet Corn - 250g,2
2024-01-21,Six Square Frozen Sweet Corn - 250g,4
2024-01-22,Six Square Frozen Sweet Corn - 250g,6
2024-01-23,Six Square Frozen Sweet Corn - 250g,3
2024-01-24,Six Square Frozen Sweet Corn - 250g,2
2024-01-26,Six Square Frozen Sweet Corn - 250g,2
2024-01-29,Six Square Frozen Sweet Corn - 250g,8
2024-01-30,Six Square Frozen Sweet Corn - 250g,7
