Date,Product Name,Quantity
2022-04-04,Chives (50g),2
2022-04-04,Farm Fresh (AAA) Bunched Chives - 100g,5
2022-04-05,Farm Fresh (AAA) Bunched Chives - 100g,2
2022-04-07,Farm Fresh (AAA) Bunched Chives - 100g,1
2022-04-09,Farm Fresh (AAA) Bunched Chives - 100g,1
2022-04-11,Farm Fresh (AAA) Bunched Chives - 100g,1
2022-04-12,Farm Fresh (AAA) Bunched Chives - 100g,1
2022-04-14,Chives (50g),1
2022-04-15,Farm Fresh (AAA) Chives - 100g,1
2022-04-18,Farm Fresh (AAA) Chives - 100g,2
2022-05-06,Farm Fresh (AAA) Chives - 100g,1
2022-05-13,Farm Fresh (AAA) Chives - 100g,1
2022-05-17,Farm Fresh (AAA) Chives - 100g,1
2022-05-27,Farm Fresh (AAA) Chives - 100g,1
2022-06-10,Farm Fresh (AAA) Chives - 100g,1
2022-07-08,Farm Fresh (AAA) Chives - 100g,1
2022-07-09,Farm Fresh (AAA) Chives - 100g,1
2022-07-11,Farm Fresh (AAA) Chives - 100g,1
2022-07-22,Farm Fresh (AAA) Chives - 100g,1
2022-08-03,Farm Fresh (AAA) Chives - 100g,1
2022-08-05,Farm Fresh (AAA) Chives - 100g,1
2022-08-07,Farm Fresh (AAA) Chives - 100g,2
2022-08-09,Farm Fresh (AAA) Chives - 100g,1
2022-08-15,Farm Fresh (AAA) Chives - 100g,3
2022-08-16,Farm Fresh (AAA) Chives - 100g,1
2022-08-27,Farm Fresh (AAA) Chives - 100g,2
2022-08-30,Farm Fresh (AAA) Chives - 100g,2
2022-09-05,Farm Fresh (AAA) Chives - 100g,1
2022-09-07,Farm Fresh (AAA) Chives - 100g,1
2022-09-08,Farm Fresh (AAA) Chives - 100g,1
2022-09-12,Farm Fresh (AAA) Chives - 100g,1
2022-09-15,Farm Fresh (AAA) Chives - 100g,2
2022-10-04,Farm Fresh (AAA) Chives - 100g,1
2022-10-08,Farm Fresh (AAA) Chives - 100g,1
2022-10-14,Farm Fresh (AAA) Chives - 100g,1
2022-10-18,Farm Fresh (AAA) Chives - 100g,1
2022-10-27,Farm Fresh (AAA) Chives - 100g,2
2022-11-01,Farm Fresh (AAA) Chives - 100g,1
2022-11-02,Farm Fresh (AAA) Chives - 100g,1
2022-11-08,Farm Fresh (AAA) Chives - 100g,2
2022-11-09,Farm Fresh (AAA) Chives - 100g,1
2022-11-10,Farm Fresh (AAA) Chives - 100g,1
2022-11-14,Farm Fresh (AAA) Chives - 100g,1
2022-11-15,Farm Fresh (AAA) Chives - 100g,1
2022-11-18,Farm Fresh (AAA) Chives - 100g,1
2022-11-20,Farm Fresh (AAA) Chives - 100g,2
2022-11-21,Farm Fresh (AAA) Chives - 100g,2
2022-11-23,Farm Fresh (AAA) Chives - 100g,2
2022-11-24,Farm Fresh (AAA) Chives - 100g,1
2022-12-02,Farm Fresh (AAA) Chives - 100g,1
2022-12-06,Farm Fresh (AAA) Chives - 100g,1
2022-12-16,Farm Fresh (AAA) Chives - 100g,2
2022-12-20,Farm Fresh (AAA) Chives - 100g,1
2022-12-21,Farm Fresh (AAA) Chives - 100g,2
2022-12-23,Farm Fresh (AAA) Chives - 100g,2
2022-12-24,Farm Fresh (AAA) Chives - 100g,3
2022-12-27,Farm Fresh (AAA) Chives - 100g,1
2022-12-31,Farm Fresh (AAA) Chives - 100g,1
2023-01-02,Farm Fresh (AAA) Chives - 100g,1
2023-01-03,Farm Fresh (AAA) Chives - 100g,1
2023-01-06,Farm Fresh (AAA) Chives - 100g,1
2023-01-14,Farm Fresh (AAA) Chives - 100g,1
2023-01-24,Farm Fresh (AAA) Chives - 100g,1
2023-01-28,Farm Fresh (AAA) Chives - 100g,1
2023-02-02,Farm Fresh (AAA) Chives - 100g,1
2023-02-03,Farm Fresh (AAA) Chives - 100g,1
2023-02-12,Farm Fresh (AAA) Chives - 100g,2
2023-02-13,Farm Fresh (AAA) Chives - 100g,1
2023-02-21,Farm Fresh (AAA) Chives - 100g,1
2023-02-24,Farm Fresh (AAA) Chives - 100g,2
2023-02-27,Farm Fresh (AAA) Chives - 100g,1
2023-03-02,Farm Fresh (AAA) Chives - 100g,1
2023-03-04,Farm Fresh (AAA) Chives - 100g,2
2023-03-08,Farm Fresh (AAA) Chives - 100g,1
2023-03-09,Farm Fresh (AAA) Chives - 100g,2
2023-03-10,Farm Fresh (AAA) Chives - 100g,1
2023-03-12,Farm Fresh (AAA) Chives - 100g,1
2023-03-13,Farm Fresh (AAA) Chives - 100g,1
2023-03-15,Farm Fresh (AAA) Chives - 100g,1
2023-03-16,Farm Fresh (AAA) Chives - 100g,4
2023-03-18,Farm Fresh (AAA) Chives - 100g,3
2023-03-20,Farm Fresh (AAA) Chives - 100g,2
2023-03-22,Farm Fresh (AAA) Chives - 100g,1
2023-03-23,Farm Fresh (AAA) Chives - 100g,1
2023-03-24,Farm Fresh (AAA) Chives - 100g,2
2023-03-27,Farm Fresh (AAA) Chives - 100g,4
2023-03-28,Farm Fresh (AAA) Chives - 100g,1
2023-03-29,Farm Fresh (AAA) Chives - 100g,1
2023-03-30,Farm Fresh (AAA) Chives - 100g,2
2023-04-01,Farm Fresh (AAA) Chives - 100g,1
2023-04-03,Farm Fresh (AAA) Chives - 100g,3
2023-04-04,Farm Fresh (AAA) Chives - 100g,1
2023-04-05,Farm Fresh (AAA) Chives - 100g,1
2023-04-06,Farm Fresh (AAA) Chives - 100g,2
2023-04-08,Farm Fresh (AAA) Chives - 100g,1
2023-04-12,Farm Fresh (AAA) Chives - 100g,1
2023-04-16,Farm Fresh (AAA) Chives - 100g,1
2023-04-17,Farm Fresh (AAA) Chives - 100g,1
2023-04-19,Farm Fresh (AAA) Chives - 100g,1
2023-04-20,Farm Fresh (AAA) Chives - 100g,1
2023-04-22,Farm Fresh (AAA) Chives - 100g,1
2023-04-23,Farm Fresh (AAA) Chives - 100g,1
2023-04-24,Farm Fresh (AAA) Chives - 100g,1
2023-04-25,Farm Fresh (AAA) Chives - 100g,4
2023-05-05,Farm Fresh (AAA) Chives - 100g,1
2023-05-07,Farm Fresh (AAA) Chives - 100g,2
2023-05-09,Farm Fresh (AAA) Chives - 100g,2
2023-05-12,Farm Fresh (AAA) Chives - 100g,1
2023-05-13,Farm Fresh (AAA) Chives - 100g,1
2023-05-16,Farm Fresh (AAA) Chives - 100g,1
2023-05-21,Farm Fresh (AAA) Chives - 100g,1
2023-05-22,Farm Fresh (AAA) Chives - 100g,1
2023-05-23,Farm Fresh (AAA) Chives - 100g,1
2023-05-26,Farm Fresh (AAA) Chives - 100g,2
2023-05-27,Farm Fresh (AAA) Chives - 100g,1
2023-05-29,Farm Fresh (AAA) Chives - 100g,1
2023-05-30,Farm Fresh (AAA) Chives - 100g,1
2023-05-31,Farm Fresh (AAA) Chives - 100g,1
2023-06-01,Farm Fresh (AAA) Chives - 100g,1
2023-06-02,Farm Fresh (AAA) Chives - 100g,1
2023-06-07,Farm Fresh (AAA) Chives - 100g,1
2023-06-08,Farm Fresh (AAA) Chives - 100g,1
2023-06-10,Farm Fresh (AAA) Chives - 100g,1
2023-06-15,Farm Fresh (AAA) Chives - 100g,1
2023-06-16,Farm Fresh (AAA) Chives - 100g,1
2023-06-22,Farm Fresh (AAA) Chives - 100g,1
2023-06-24,Farm Fresh (AAA) Chives - 100g,1
2023-06-25,Farm Fresh (AAA) Chives - 100g,1
2023-06-27,Farm Fresh (AAA) Chives - 100g,1
2023-06-28,Farm Fresh (AAA) Chives - 100g,3
2023-06-29,Farm Fresh (AAA) Chives - 100g,1
2023-07-01,Farm Fresh (AAA) Chives - 100g,1
2023-07-02,Farm Fresh (AAA) Chives - 100g,1
