Date,Product Name,Quantity
2022-04-08,Farm Fresh (AAA) Mixed Vegetables - 500g,1
2022-04-09,Farm Fresh (AAA) Mixed Vegetables - 500g,1
2022-04-10,Farm Fresh (AAA) Mixed Vegetables - 500g,1
2022-04-11,Farm Fresh (AAA) Mixed Vegetables - 500g,1
2022-04-12,Farm Fresh (AAA) Mixed Vegetables - 500g,1
2022-04-13,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2022-04-14,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2022-04-16,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2022-04-19,Farm Fresh (AAA) Mixed Vegetables- 500g,6
2022-04-20,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2022-04-21,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2022-04-24,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2022-04-25,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2022-04-26,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2022-04-27,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2022-04-28,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2022-04-29,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2022-04-30,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2022-05-03,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2022-05-04,Farm Fresh (AAA) Mixed Vegetables- 500g,5
2022-05-05,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2022-05-06,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-02-02,Farm Fresh (AAA) Mixed Vegetables- 1Kg,1
2024-02-05,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-02-06,Farm Fresh (AAA) Mixed Vegetables- 500g,7
2024-02-08,Farm Fresh (AAA) Mixed Vegetables- 500g,7
2024-02-14,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-02-15,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-02-18,Farm Fresh (AAA) Mixed Vegetables- 500g,7
2024-02-19,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-02-20,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-02-21,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-02-24,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-02-26,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-02-27,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-02-28,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-02-29,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-03-01,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-03-04,Farm Fresh (AAA) Mixed Vegetables- 500g,5
2024-03-05,Farm Fresh (AAA) Mixed Vegetables- 500g,5
2024-03-06,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-03-07,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-03-08,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-03-10,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-03-11,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-03-12,Farm Fresh (AAA) Mixed Vegetables- 500g,5
2024-03-13,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-03-14,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-03-15,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-03-16,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-03-17,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-03-18,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-03-19,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-03-20,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-03-21,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-03-22,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-03-23,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-03-24,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-03-25,Farm Fresh (AAA) Mixed Vegetables- 500g,5
2024-03-26,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-03-27,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-03-28,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-03-29,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-04-01,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-04-02,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-04-03,Farm Fresh (AAA) Mixed Vegetables- 500g,5
2024-04-04,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-04-05,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-04-06,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-04-07,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-04-08,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-04-09,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-04-11,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-04-13,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-04-15,Farm Fresh (AAA) Mixed Vegetables- 500g,9
2024-04-16,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-04-17,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-04-18,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-04-19,Farm Fresh (AAA) Mixed Vegetables- 500g,5
2024-04-20,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-04-21,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-04-22,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-04-23,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-04-24,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-04-25,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-04-26,Farm Fresh (AAA) Mixed Vegetables- 500g,8
2024-04-27,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-04-28,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-04-29,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-05-01,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-05-02,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-05-03,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-05-04,Farm Fresh (AAA) Mixed Vegetables- 500g,8
2024-05-05,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-05-06,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-05-07,Farm Fresh (AAA) Mixed Vegetables- 500g,5
2024-05-08,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-05-09,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-05-10,Farm Fresh (AAA) Mixed Vegetables- 500g,6
2024-05-11,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-05-12,Farm Fresh (AAA) Mixed Vegetables- 500g,7
2024-05-13,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-05-14,Farm Fresh (AAA) Mixed Vegetables- 500g,9
2024-05-16,Farm Fresh (AAA) Mixed Vegetables- 500g,5
2024-05-17,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-05-18,Farm Fresh (AAA) Mixed Vegetables- 500g,6
2024-05-19,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-05-20,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-05-21,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-05-22,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-05-24,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-05-26,Farm Fresh (AAA) Mixed Vegetables- 500g,7
2024-05-27,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-05-28,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-05-29,Farm Fresh (AAA) Mixed Vegetables- 500g,5
2024-05-31,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-06-01,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-06-03,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-06-04,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-06-05,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-06-06,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-06-07,Farm Fresh (AAA) Mixed Vegetables- 500g,3
2024-06-08,Farm Fresh (AAA) Mixed Vegetables- 500g,4
2024-06-10,Farm Fresh (AAA) Mixed Vegetables- 500g,2
2024-06-11,Farm Fresh (AAA) Mixed Vegetables- 1kg,5
2024-06-11,Farm Fresh (AAA) Mixed Vegetables- 500g,1
2024-06-12,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-06-13,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-06-15,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-06-16,Farm Fresh (AAA) Mixed Vegetables- 1kg,3
2024-06-17,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-06-19,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-06-21,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-06-22,Farm Fresh (AAA) Mixed Vegetables- 1kg,4
2024-06-23,Farm Fresh (AAA) Mixed Vegetables- 1kg,2
2024-06-24,Farm Fresh (AAA) Mixed Vegetables- 1kg,5
2024-06-26,Farm Fresh (AAA) Mixed Vegetables- 1kg,3
2024-06-28,Farm Fresh (AAA) Mixed Vegetables- 1kg,2
2024-07-01,Farm Fresh (AAA) Mixed Vegetables- 1kg,3
2024-07-02,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-07-03,Farm Fresh (AAA) Mixed Vegetables- 1kg,2
2024-07-04,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-07-05,Farm Fresh (AAA) Mixed Vegetables- 1kg,4
2024-07-07,Farm Fresh (AAA) Mixed Vegetables- 1kg,3
2024-07-08,Farm Fresh (AAA) Mixed Vegetables- 1kg,4
2024-07-09,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-07-12,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-07-13,Farm Fresh (AAA) Mixed Vegetables- 1kg,4
2024-07-15,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-07-16,Farm Fresh (AAA) Mixed Vegetables- 1kg,3
2024-07-18,Farm Fresh (AAA) Mixed Vegetables- 1kg,3
2024-07-19,Farm Fresh (AAA) Mixed Vegetables- 1kg,2
2024-07-22,Farm Fresh (AAA) Mixed Vegetables- 1kg,2
2024-07-23,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-07-24,Farm Fresh (AAA) Mixed Vegetables- 1kg,2
2024-07-26,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-07-27,Farm Fresh (AAA) Mixed Vegetables- 1kg,4
2024-07-28,Farm Fresh (AAA) Mixed Vegetables- 1kg,5
2024-07-29,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-07-30,Farm Fresh (AAA) Mixed Vegetables- 1kg,4
2024-07-31,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-08-01,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-08-03,Farm Fresh (AAA) Mixed Vegetables- 1kg,1
2024-08-04,Farm Fresh (AAA) Mixed Vegetables- 1kg,2
