Date,Product Name,Quantity
2022-10-26,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2022-10-29,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,2
2022-10-31,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,4
2022-11-01,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2022-11-03,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,2
2022-11-19,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2022-11-23,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,2
2022-11-24,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2022-11-30,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2022-12-29,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2022-12-30,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2023-01-02,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2023-01-03,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2023-01-04,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2023-01-08,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2023-01-09,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2023-01-12,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2023-01-16,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2023-01-17,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2023-01-18,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2023-01-20,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,2
2023-01-23,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2023-01-26,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,2
2023-01-30,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2023-01-31,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2023-02-01,Farm Fresh (AAA) Orange Pumpkin - 2Kg-2.249Kg,1
2023-02-06,Farm Fresh (AAA) Orange Pumpkin,1
2023-10-12,Farm Fresh (AAA) Halloween Orange Pumpkin - 2Kg-2.449Kg,1
2023-10-16,Farm Fresh (AAA) Halloween Orange Pumpkin - 2Kg-2.449Kg,1
2023-10-17,Farm Fresh (AAA) Halloween Orange Pumpkin - 2Kg-2.449Kg,1
2023-10-18,Farm Fresh (AAA) Halloween Orange Pumpkin - 2Kg-2.449Kg,1
2023-10-19,Farm Fresh (AAA) Halloween Orange Pumpkin - 2Kg-2.449Kg,1
2023-10-20,Farm Fresh (AAA) Halloween Orange Pumpkin - 2Kg-2.449Kg,2
2023-10-21,Farm Fresh (AAA) Halloween Orange Pumpkin - 2Kg-2.449Kg,5
2023-10-22,Farm Fresh (AAA) Halloween Orange Pumpkin - 2Kg-2.449Kg,8
2023-10-24,Farm Fresh (AAA) Halloween Orange Pumpkin - 2Kg-2.449Kg,1
