Date,Product Name,Quantity
2022-09-07,Farm Fresh (AAA) Raspberries - 125g,2
2022-09-08,Farm Fresh (AAA) Raspberries - 125g,11
2022-09-09,Farm Fresh (AAA) Raspberries - 125g,6
2022-09-10,Farm Fresh (AAA) Raspberries - 125g,3
2022-09-13,Farm Fresh (AAA) Raspberries - 125g,4
2022-09-14,Farm Fresh (AAA) Raspberries - 125g,14
2022-09-15,Farm Fresh (AAA) Raspberries - 125g,5
2022-09-16,Farm Fresh (AAA) Raspberries - 125g,15
2022-09-17,Farm Fresh (AAA) Raspberries - 125g,7
2022-09-18,Farm Fresh (AAA) Raspberries - 125g,1
2022-09-20,Farm Fresh (AAA) Raspberries - 125g,18
2022-09-21,Farm Fresh (AAA) Raspberries - 125g,8
2022-09-22,Farm Fresh (AAA) Raspberries - 125g,6
2022-09-23,Farm Fresh (AAA) Raspberries - 125g,15
2022-09-24,Farm Fresh (AAA) Raspberries - 125g,9
2022-09-25,Farm Fresh (AAA) Raspberries - 125g,1
2022-09-26,Farm Fresh (AAA) Raspberries - 125g,2
2022-09-27,Farm Fresh (AAA) Raspberries - 125g,23
2022-09-28,Farm Fresh (AAA) Raspberries - 125g,17
2022-10-01,Farm Fresh (AAA) Raspberries - 125g,20
2022-10-03,Farm Fresh (AAA) Raspberries - 125g,20
2022-10-05,Farm Fresh (AAA) Raspberries - 125g,5
2022-10-06,Farm Fresh (AAA) Raspberries - 125g,9
2022-10-07,Farm Fresh (AAA) Raspberries - 125g,9
2022-10-08,Farm Fresh (AAA) Raspberries - 125g,7
2022-10-11,Farm Fresh (AAA) Raspberries - 125g,11
2022-10-12,Farm Fresh (AAA) Raspberries - 125g,13
2022-10-13,Farm Fresh (AAA) Raspberries - 125g,2
2022-10-14,Farm Fresh (AAA) Raspberries - 125g,2
2022-10-15,Farm Fresh (AAA) Raspberries - 125g,2
2022-10-25,Farm Fresh (AAA) Raspberries - 125g,17
2022-10-26,Farm Fresh (AAA) Raspberries - 125g,10
2022-10-27,Farm Fresh (AAA) Raspberries - 125g,2
2022-10-28,Farm Fresh (AAA) Raspberries - 125g,1
2022-11-08,Farm Fresh (AAA) Raspberries - 125g,18
2022-11-09,Farm Fresh (AAA) Raspberries - 125g,7
2022-11-11,Farm Fresh (AAA) Raspberries - 125g,1
2023-02-07,Farm Fresh (AAA) Raspberries - 125g,11
2023-02-08,Farm Fresh (AAA) Raspberries - 125g,2
2023-02-11,Farm Fresh (AAA) Raspberries - 125g,8
2023-02-16,Farm Fresh (AAA) Raspberries - 125g,1
2023-02-18,Farm Fresh (AAA) Raspberries - 125g,2
2023-02-19,Farm Fresh (AAA) Raspberries - 125g,1
2023-02-21,Farm Fresh (AAA) Raspberries - 125g,9
2023-02-22,Farm Fresh (AAA) Raspberries - 125g,7
