Date,Product Name,Quantity
2024-06-07,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-06-08,Farm Fresh (AAA) Red Cripsy Lettuce,3
2024-06-09,Farm Fresh (AAA) Red Cripsy Lettuce,3
2024-06-10,Farm Fresh (AAA) Red Cripsy Lettuce,7
2024-06-12,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-06-18,Farm Fresh (AAA) Red Cripsy Lettuce,4
2024-06-19,Farm Fresh (AAA) Red Cripsy Lettuce,6
2024-06-20,Farm Fresh (AAA) Red Cripsy Lettuce,4
2024-06-21,Farm Fresh (AAA) Red Cripsy Lettuce,4
2024-06-22,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-06-23,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-06-24,Farm Fresh (AAA) Red Cripsy Lettuce,4
2024-06-26,Farm Fresh (AAA) Red Cripsy Lettuce,2
2024-06-28,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-06-30,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-07-01,Farm Fresh (AAA) Red Cripsy Lettuce,8
2024-07-02,Farm Fresh (AAA) Red Cripsy Lettuce,4
2024-07-03,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-07-04,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-07-06,Farm Fresh (AAA) Red Cripsy Lettuce,3
2024-07-10,Farm Fresh (AAA) Red Cripsy Lettuce,5
2024-07-13,Farm Fresh (AAA) Red Cripsy Lettuce,4
2024-07-15,Farm Fresh (AAA) Red Cripsy Lettuce,4
2024-07-16,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-07-17,Farm Fresh (AAA) Red Cripsy Lettuce,2
2024-07-18,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-07-22,Farm Fresh (AAA) Red Cripsy Lettuce,2
2024-07-23,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-07-24,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-07-25,Farm Fresh (AAA) Red Cripsy Lettuce,2
2024-07-26,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-07-29,Farm Fresh (AAA) Red Cripsy Lettuce,2
2024-07-30,Farm Fresh (AAA) Red Cripsy Lettuce,2
2024-08-01,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-08-03,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-08-05,Farm Fresh (AAA) Red Cripsy Lettuce,2
2024-08-07,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-08-09,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-08-11,Farm Fresh (AAA) Red Cripsy Lettuce,1
2024-08-12,Farm Fresh (AAA) Red Cripsy Lettuce,2
