Date,Product Name,Quantity
2023-04-01,Absolute Chocolate Chocolate Fudge Easter Egg - 250g,1
2023-04-04,Absolute Chocolate Chocolate Fudge Easter Egg - 250g,2
2023-04-05,Absolute Chocolate Chocolate Fudge Easter Egg - 250g,1
2023-04-06,Absolute Chocolate Chocolate Fudge Easter Egg - 250g,3
2023-04-07,Absolute Chocolate Chocolate Fudge Easter Egg - 250g,1
2023-04-08,Absolute Chocolate Chocolate Fudge Easter Egg - 250g,3
2023-04-16,Absolute Chocolate Chocolate Fudge Easter Egg - 250g,1
2023-04-18,Absolute Chocolate Chocolate Fudge Easter Egg - 250g,3
2023-04-19,Absolute Chocolate Chocolate Fudge Easter Egg - 250g,1
2023-04-21,Absolute Chocolate Chocolate Fudge Easter Egg - 250g,1
2023-04-30,Absolute Chocolate Chocolate Fudge Easter Egg 250g,2
2023-05-13,Absolute Chocolate Chocolate Fudge Easter Egg 250g,1
2023-05-21,Absolute Chocolate Chocolate Fudge Easter Egg 250g,1
2023-05-23,Absolute Chocolate Chocolate Fudge Easter Egg 250g,1
