Date,Product Name,Quantity
2022-01-03,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-05,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-05,Absolute Chocolate Almonds &amp; Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-07,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,2
2022-02-07,Absolute Chocolate Almonds &amp; Hazelnuts Coated in 54% Dark Chocolate - 250g,2
2022-02-08,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,3
2022-02-08,Absolute Chocolate Almonds &amp; Hazelnuts Coated in 54% Dark Chocolate - 250g,3
2022-02-11,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-11,Absolute Chocolate Almonds &amp; Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-12,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-12,Absolute Chocolate Almonds &amp; Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-14,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,3
2022-02-14,Absolute Chocolate Almonds &amp; Hazelnuts Coated in 54% Dark Chocolate - 250g,3
2022-02-15,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-15,Absolute Chocolate Almonds &amp; Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-20,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-20,Absolute Chocolate Almonds &amp; Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-22,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-22,Absolute Chocolate Almonds &amp; Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-23,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-23,Absolute Chocolate Almonds &amp; Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-24,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,2
2022-02-24,Absolute Chocolate Almonds &amp; Hazelnuts Coated in 54% Dark Chocolate - 250g,2
2022-02-27,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-27,Absolute Chocolate Almonds &amp; Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-28,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-02-28,Absolute Chocolate Almonds &amp; Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-03-01,Absolute Chocolate Almonds &amp; Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-05-13,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,2
2022-05-20,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,2
2022-05-26,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,1
2022-05-27,Absolute Chocolate Almonds & Hazelnuts Coated in 54% Dark Chocolate - 250g,1
