Date,Product Name,Quantity
2021-05-17,70% Dark Chocolate Chips - 250g,1
2021-05-18,70% Dark Chocolate Chips - 250g,1
2021-05-21,70% Dark Chocolate Chips - 250g,1
2021-05-24,70% Dark Chocolate Chips - 250g,1
2021-05-27,70% Dark Chocolate Chips - 250g,1
2021-05-28,70% Dark Chocolate Chips - 250g,1
2021-05-31,70% Dark Chocolate Chips - 250g,1
2021-06-02,70% Dark Chocolate Chips - 250g,1
2021-06-03,70% Dark Chocolate Chips - 250g,1
2021-06-04,70% Dark Chocolate Chips - 250g,1
2021-06-08,70% Dark Chocolate Chips - 250g,1
2021-06-10,70% Dark Chocolate Chips - 250g,1
2021-06-24,70% Dark Chocolate Chips - 250g,8
2021-07-04,70% Dark Chocolate Chips - 250g,2
2021-07-08,70% Dark Chocolate Chips - 250g,6
2021-07-16,70% Dark Chocolate Chips - 250g,1
2021-07-28,70% Dark Chocolate Chips - 250g,1
2021-08-02,70% Dark Chocolate Chips - 250g,1
2021-08-03,70% Dark Chocolate Chips - 250g,1
2021-08-06,70% Dark Chocolate Chips - 250g,1
2021-08-09,70% Dark Chocolate Chips - 250g,2
2021-08-24,70% Dark Chocolate Chips - 250g,1
2021-09-03,70% Dark Chocolate Chips - 250g,1
2021-09-09,70% Dark Chocolate Chips - 250g,2
2021-09-10,70% Dark Chocolate Chips - 250g,3
2021-09-11,70% Dark Chocolate Chips - 250g,2
2021-09-14,70% Dark Chocolate Chips - 250g,1
2021-09-16,70% Dark Chocolate Chips - 250g,1
2021-09-17,70% Dark Chocolate Chips - 250g,2
2021-09-24,70% Dark Chocolate Chips - 250g,3
2021-09-25,70% Dark Chocolate Chips - 250g,1
2021-09-30,70% Dark Chocolate Chips - 250g,2
2021-10-08,70% Dark Chocolate Chips - 250g,1
2021-10-13,70% Dark Chocolate Chips - 250g,1
2021-10-26,70% Dark Chocolate Chips - 250g,1
2021-10-28,70% Dark Chocolate Chips - 250g,1
2021-11-03,70% Dark Chocolate Chips - 250g,1
2021-11-10,70% Dark Chocolate Chips - 250g,1
2021-11-11,70% Dark Chocolate Chips - 250g,1
2021-11-13,70% Dark Chocolate Chips - 250g,1
2021-11-15,70% Dark Chocolate Chips - 250g,1
2021-11-16,70% Dark Chocolate Chips - 250g,1
2021-11-19,70% Dark Chocolate Chips - 250g,3
2021-11-25,70% Dark Chocolate Chips - 250g,2
2021-12-01,70% Dark Chocolate Chips - 250g,1
2021-12-09,70% Dark Chocolate Chips - 250g,2
2021-12-13,70% Dark Chocolate Chips - 250g,1
2021-12-14,70% Dark Chocolate Chips - 250g,1
2021-12-15,70% Dark Chocolate Chips - 250g,1
2021-12-20,70% Dark Chocolate Chips - 250g,1
2021-12-22,70% Dark Chocolate Chips - 250g,1
2021-12-23,70% Dark Chocolate Chips - 250g,1
2021-12-28,70% Dark Chocolate Chips - 250g,1
2022-01-04,70% Dark Chocolate Chips - 250g,2
2022-01-07,70% Dark Chocolate Chips - 250g,2
2022-01-13,70% Dark Chocolate Chips - 250g,2
2022-01-20,70% Dark Chocolate Chips - 250g,2
2022-02-15,70% Dark Chocolate Chips - 250g,2
2022-02-18,70% Dark Chocolate Chips - 250g,2
2022-02-20,70% Dark Chocolate Chips - 250g,2
2022-02-22,70% Dark Chocolate Chips - 250g,4
2022-03-03,70% Dark Chocolate Chips - 250g,1
2022-03-07,70% Dark Chocolate Chips - 250g,1
2022-03-09,70% Dark Chocolate Chips - 250g,1
2022-03-11,70% Dark Chocolate Chips - 250g,1
2022-03-15,70% Dark Chocolate Chips - 250g,2
2022-03-25,70% Dark Chocolate Chips - 250g,2
2022-03-29,70% Dark Chocolate Chips - 250g,1
2022-03-30,70% Dark Chocolate Chips - 250g,1
2022-04-04,70% Dark Chocolate Chips - 250g,1
2022-04-08,70% Dark Chocolate Chips - 250g,1
2022-04-09,70% Dark Chocolate Chips - 250g,1
2022-04-10,70% Dark Chocolate Chips - 250g,1
2022-04-11,70% Dark Chocolate Chips - 250g,1
2022-04-13,70% Dark Chocolate Chips - 250g,1
2022-04-15,70% Dark Chocolate Chips - 250g,1
2022-04-16,70% Dark Chocolate Chips - 250g,1
2022-04-22,70% Dark Chocolate Chips - 250g,1
2022-04-24,70% Dark Chocolate Chips - 250g,1
2022-05-04,70% Dark Chocolate Chips - 250g,1
2022-05-07,70% Dark Chocolate Chips - 250g,1
2022-05-11,70% Dark Chocolate Chips - 250g,1
2022-05-12,70% Dark Chocolate Chips - 250g,1
2022-05-13,70% Dark Chocolate Chips - 250g,1
2022-05-16,70% Dark Chocolate Chips - 250g,1
2022-05-18,70% Dark Chocolate Chips - 250g,2
2022-05-21,70% Dark Chocolate Chips - 250g,1
2022-05-22,70% Dark Chocolate Chips - 250g,1
2022-05-24,70% Dark Chocolate Chips - 250g,1
2022-05-25,70% Dark Chocolate Chips - 250g,1
2022-05-27,70% Dark Chocolate Chips - 250g,1
2022-06-05,70% Dark Chocolate Chips - 250g,1
2022-06-07,70% Dark Chocolate Chips - 250g,1
