Date,Product Name,Quantity
2019-06-14,Tree to Bar Congo 90% Chocolate - 85g,1
2019-06-18,Tree to Bar Congo 90% Chocolate - 85g,1
2019-06-26,Tree to Bar Congo 90% Chocolate - 85g,1
2019-07-04,Tree to Bar Congo 90% Chocolate - 85g,1
2019-07-18,Tree to Bar Congo 90% Chocolate - 85g,1
2019-08-08,Tree to Bar Congo 90% Chocolate - 85g,1
2019-09-24,Tree to Bar Congo 90% Chocolate - 85g,1
2019-09-27,Tree to Bar Congo 90% Chocolate - 85g,1
2019-10-01,Tree to Bar Congo 90% Chocolate - 85g,1
2019-10-03,Tree to Bar Congo 90% Chocolate - 85g,2
2019-10-04,Tree to Bar Congo 90% Chocolate - 85g,1
2019-10-11,Tree to Bar Congo 90% Chocolate - 85g,1
2019-10-28,Tree to Bar Congo 90% Chocolate - 85g,1
2019-11-27,Tree to Bar Congo 90% Chocolate - 85g,5
2019-12-03,Tree to Bar Congo 90% Chocolate - 85g,1
2019-12-14,Tree to Bar Congo 90% Chocolate - 85g,1
2019-12-22,Tree to Bar Congo 90% Chocolate - 85g,1
2020-01-06,Tree to Bar Congo 90% Chocolate - 85g,1
2020-01-07,Tree to Bar Congo 90% Chocolate - 85g,1
2020-02-26,Tree to Bar Congo 90% Chocolate - 85g,1
2020-03-16,Tree to Bar Congo 90% Chocolate - 85g,1
2020-03-19,Tree to Bar Congo 90% Chocolate - 85g,3
2020-03-23,Tree to Bar Congo 90% Chocolate - 85g,1
2020-04-01,Tree to Bar Congo 90% Chocolate - 85g,2
2020-04-05,Tree to Bar Congo 90% Chocolate - 85g,1
2020-04-09,Tree to Bar Congo 90% Chocolate - 85g,5
2020-04-21,Tree to Bar Congo 90% Chocolate - 85g,1
2020-04-23,Tree to Bar Congo 90% Chocolate - 85g,3
2020-04-27,Tree to Bar Congo 90% Chocolate - 85g,1
2020-04-30,Tree to Bar Congo 90% Chocolate - 85g,3
2020-05-02,Tree to Bar Congo 90% Chocolate - 85g,3
2020-05-04,Tree to Bar Congo 90% Chocolate - 85g,1
2020-05-11,Tree to Bar Congo 90% Chocolate - 85g,3
2020-05-14,Tree to Bar Congo 90% Chocolate - 85g,1
2020-05-16,Tree to Bar Congo 90% Chocolate - 85g,4
2020-05-20,Tree to Bar Congo 90% Chocolate - 85g,1
2020-05-26,Tree to Bar Congo 90% Chocolate - 85g,1
2020-05-27,Tree to Bar Congo 90% Chocolate - 85g,1
2020-06-01,Tree to Bar Congo 90% Chocolate - 85g,4
2020-06-02,Tree to Bar Congo 90% Chocolate - 85g,1
2020-06-03,Tree to Bar Congo 90% Chocolate - 85g,2
2020-06-04,Tree to Bar Congo 90% Chocolate - 85g,2
2020-06-11,Tree to Bar Congo 90% Chocolate - 85g,4
2020-06-13,Tree to Bar Congo 90% Chocolate - 85g,1
2020-06-14,Tree to Bar Congo 90% Chocolate - 85g,1
2020-06-16,Tree to Bar Congo 90% Chocolate - 85g,1
2020-06-19,Tree to Bar Congo 90% Chocolate - 85g,1
2020-06-22,Tree to Bar Congo 90% Chocolate - 85g,1
2020-06-26,Tree to Bar Congo 90% Chocolate - 85g,1
2020-07-01,Tree to Bar Congo 90% Chocolate - 85g,1
2020-07-02,Tree to Bar Congo 90% Chocolate - 85g,2
2020-07-03,Tree to Bar Congo 90% Chocolate - 85g,4
2020-07-14,Tree to Bar Congo 90% Chocolate - 85g,2
2020-08-03,Tree to Bar Congo 90% Chocolate - 85g,2
2020-08-05,Tree to Bar Congo 90% Chocolate - 85g,2
2020-08-07,Tree to Bar Congo 90% Chocolate - 85g,2
2020-08-10,Tree to Bar Congo 90% Chocolate - 85g,4
2020-08-17,Tree to Bar Congo 90% Chocolate - 85g,2
2020-08-24,Tree to Bar Congo 90% Chocolate - 85g,2
2020-08-25,Tree to Bar Congo 90% Chocolate - 85g,1
2020-09-01,Tree to Bar Congo 90% Chocolate - 85g,1
2020-09-03,Tree to Bar Congo 90% Chocolate - 85g,2
2020-09-14,Tree to Bar Congo 90% Chocolate - 85g,1
2020-09-16,Tree to Bar Congo 90% Chocolate - 85g,1
2020-09-17,Tree to Bar Congo 90% Chocolate - 85g,1
2020-10-23,Tree to Bar Congo 90% Chocolate - 85g,1
2020-10-26,Tree to Bar Congo 90% Chocolate - 85g,5
2020-10-28,Tree to Bar Congo 90% Chocolate - 85g,2
