Date,Product Name,Quantity
2020-04-03,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-04-06,Absolute Chocolate Single Origin Peppermint Hot Cocoa,3
2020-04-09,Absolute Chocolate Single Origin Peppermint Hot Cocoa,3
2020-04-14,Absolute Chocolate Single Origin Peppermint Hot Cocoa,2
2020-04-18,Absolute Chocolate Single Origin Peppermint Hot Cocoa,2
2020-04-20,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-04-25,Absolute Chocolate Single Origin Peppermint Hot Cocoa,3
2020-05-02,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-05-03,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-05-04,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-05-05,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-05-06,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-05-08,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-05-11,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-05-15,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-05-16,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-05-26,Absolute Chocolate Single Origin Peppermint Hot Cocoa,3
2020-05-31,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-06-01,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-06-03,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-06-24,Absolute Chocolate Single Origin Peppermint Hot Cocoa,2
2020-06-25,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-06-26,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-06-29,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-07-01,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-07-02,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-07-08,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-07-14,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-07-23,Absolute Chocolate Single Origin Peppermint Hot Cocoa,2
2020-08-05,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-08-10,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-08-14,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-08-18,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-08-20,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-08-24,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-08-27,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-08-28,Absolute Chocolate Single Origin Peppermint Hot Cocoa,2
2020-09-11,Absolute Chocolate Single Origin Peppermint Hot Cocoa,2
2020-09-19,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-09-23,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-09-24,Absolute Chocolate Single Origin Peppermint Hot Cocoa,2
2020-09-26,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-10-01,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-10-09,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-10-21,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-10-23,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-10-30,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-11-04,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-11-05,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-11-16,Absolute Chocolate Single Origin Peppermint Hot Cocoa,2
2020-11-26,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-12-09,Absolute Chocolate Single Origin Peppermint Hot Cocoa,1
2020-12-14,Absolute Chocolate Single Origin Peppermint Hot Cocoa,2
