Date,Product Name,Quantity
2021-03-19,The Chocolate Bar Classic Truffle 70% Dark Chocolate Easter Egg - 200g,9
2021-03-20,The Chocolate Bar Classic Truffle 70% Dark Chocolate Easter Egg - 200g,4
2021-03-22,The Chocolate Bar Classic Truffle 70% Dark Chocolate Easter Egg - 200g,4
2021-03-23,The Chocolate Bar Classic Truffle 70% Dark Chocolate Easter Egg - 200g,3
2021-03-24,The Chocolate Bar Classic Truffle 70% Dark Chocolate Easter Egg - 200g,3
2021-03-25,The Chocolate Bar Classic Truffle 70% Dark Chocolate Easter Egg - 200g,1
2021-03-26,The Chocolate Bar Classic Truffle 70% Dark Chocolate Easter Egg - 200g,7
2021-03-27,The Chocolate Bar Classic Truffle 70% Dark Chocolate Easter Egg - 200g,1
2021-03-30,The Chocolate Bar Classic Truffle 70% Dark Chocolate Easter Egg - 200g,7
2021-03-31,The Chocolate Bar Classic Truffle 70% Dark Chocolate Easter Egg - 200g,4
2021-04-05,The Chocolate Bar Classic Truffle 70% Dark Chocolate Easter Egg - 200g,9
2021-04-07,The Chocolate Bar Classic Truffle 70% Dark Chocolate Easter Egg - 200g,1
2021-07-01,The Chocolate Bar Classic Truffle 70% Dark Chocolate Easter Egg - 200g,10
