Date,Product Name,Quantity
2021-11-30,Absolute Chocolate Hazelnut Christmas Edition Hot Chocolate,1
2021-12-02,Absolute Chocolate Hazelnut Christmas Edition Hot Chocolate,1
2021-12-04,Absolute Chocolate Hazelnut Christmas Edition Hot Chocolate,3
2021-12-06,Absolute Chocolate Hazelnut Christmas Edition Hot Chocolate,2
2021-12-07,Absolute Chocolate Hazelnut Christmas Edition Hot Chocolate,2
2021-12-08,Absolute Chocolate Hazelnut Christmas Edition Hot Chocolate,2
2021-12-11,Absolute Chocolate Hazelnut Christmas Edition Hot Chocolate,1
2021-12-17,Absolute Chocolate Hazelnut Christmas Edition Hot Chocolate,51
2021-12-20,Absolute Chocolate Hazelnut Christmas Edition Hot Chocolate,1
2021-12-21,Absolute Chocolate Hazelnut Christmas Edition Hot Chocolate,1
2021-12-22,Absolute Chocolate Hazelnut Christmas Edition Hot Chocolate,1
2021-12-23,Absolute Chocolate Hazelnut Christmas Edition Hot Chocolate,9
2021-12-30,Absolute Chocolate Hazelnut Christmas Edition Hot Chocolate,1
