Date,Product Name,Quantity
2018-12-04,House Leche Chocolate - 100g,1
2018-12-09,House Leche Chocolate - 100g,4
2018-12-21,House Leche Chocolate - 100g,1
2018-12-29,House Leche Chocolate - 100g,1
2018-12-31,House Leche Chocolate - 100g,1
2019-01-10,House Leche Chocolate - 100g,2
2019-01-14,House Leche Chocolate - 100g,30
2019-02-08,House Leche Chocolate - 100g,1
2019-02-11,House Leche Chocolate - 100g,1
2019-02-20,House Leche Chocolate - 100g,4
2019-03-07,House Leche Chocolate - 100g,1
2019-03-08,House Leche Chocolate - 100g,1
2019-03-26,House Leche Chocolate - 100g,1
2019-05-14,House Leche Chocolate - 100g,1
2019-05-30,House Leche Chocolate - 100g,1
2019-06-11,House Leche Chocolate - 100g,2
2019-07-20,House Leche Chocolate - 100g,1
2020-08-01,House Leche Chocolate - 100g,1
2020-08-06,House Leche Chocolate - 100g,1
2020-08-10,House Leche Chocolate - 100g,1
2020-08-13,House Leche Chocolate - 100g,2
2020-08-20,House Leche Chocolate - 100g,1
2020-09-01,House Leche Chocolate - 100g,2
2020-09-11,House Leche Chocolate - 100g,2
2020-09-16,House Leche Chocolate - 100g,1
2020-09-17,House Leche Chocolate - 100g,1
2020-09-29,House Leche Chocolate - 100g,1
2020-10-15,House Leche Chocolate - 100g,1
2020-10-31,House Leche Chocolate - 100g,1
2020-11-04,House Leche Chocolate - 100g,2
2020-11-05,House Leche Chocolate - 100g,1
2020-11-11,House Leche Chocolate - 100g,1
2020-11-16,House Leche Chocolate - 100g,1
2020-12-01,House Leche Chocolate - 100g,2
2020-12-09,House Leche Chocolate - 100g,4
2020-12-14,House Leche Chocolate - 100g,1
2020-12-20,House Leche Chocolate - 100g,1
2020-12-28,House Leche Chocolate - 100g,2
2021-01-06,House Leche Chocolate - 100g,1
2021-01-21,House Leche Chocolate - 100g,2
2021-01-29,House Leche Chocolate - 100g,1
2021-02-03,House Leche Chocolate - 100g,1
2021-02-05,House Leche Chocolate - 100g,1
2021-02-08,House Leche Chocolate - 100g,1
