Date,Product Name,Quantity
2021-04-30,Chocolate Hazelnut Spread - 200g,2
2021-05-03,Chocolate Hazelnut Spread - 200g,2
2021-05-04,Chocolate Hazelnut Spread - 200g,2
2021-05-08,Chocolate Hazelnut Spread - 200g,6
2021-05-11,Chocolate Hazelnut Spread - 200g,2
2021-05-12,Chocolate Hazelnut Spread - 200g,1
2021-05-17,Chocolate Hazelnut Spread - 200g,1
2021-05-18,Chocolate Hazelnut Spread - 200g,2
2021-05-20,Chocolate Hazelnut Spread - 200g,1
2021-05-24,Chocolate Hazelnut Spread - 200g,2
2021-05-25,Chocolate Hazelnut Spread - 200g,2
2021-05-27,Chocolate Hazelnut Spread - 200g,1
2021-06-04,Chocolate Hazelnut Spread - 200g,1
2021-06-07,Chocolate Hazelnut Spread - 200g,1
2021-06-10,Chocolate Hazelnut Spread - 200g,1
2021-06-12,Chocolate Hazelnut Spread - 200g,1
2021-06-16,Chocolate Hazelnut Spread - 200g,1
2021-06-18,Chocolate Hazelnut Spread - 200g,3
2021-06-24,Chocolate Hazelnut Spread - 200g,3
2021-06-25,Chocolate Hazelnut Spread - 200g,2
2021-07-01,Chocolate Hazelnut Spread - 200g,1
2021-07-04,Chocolate Hazelnut Spread - 200g,3
2021-07-14,Chocolate Hazelnut Spread - 200g,2
2021-07-16,Chocolate Hazelnut Spread - 200g,1
2021-07-30,Chocolate Hazelnut Spread - 200g,1
2021-08-02,Chocolate Hazelnut Spread - 200g,1
2021-08-06,Chocolate Hazelnut Spread - 200g,1
2021-08-12,Chocolate Hazelnut Spread - 200g,2
2021-08-20,Chocolate Hazelnut Spread - 200g,1
2021-08-27,Chocolate Hazelnut Spread - 200g,1
2021-09-07,Chocolate Hazelnut Spread - 200g,1
2021-09-09,Chocolate Hazelnut Spread - 200g,1
2021-09-10,Chocolate Hazelnut Spread - 200g,1
2021-09-25,Chocolate Hazelnut Spread - 200g,3
2021-10-01,Chocolate Hazelnut Spread - 200g,1
2021-10-12,Chocolate Hazelnut Spread - 200g,1
2021-10-14,Chocolate Hazelnut Spread - 200g,1
2021-10-25,Chocolate Hazelnut Spread - 200g,3
2021-10-28,Chocolate Hazelnut Spread - 200g,2
2021-11-01,Chocolate Hazelnut Spread - 200g,1
