Date,Product Name,Quantity
2019-11-30,Christmas Edition Assorted Mini Neapolitans Gift Box,1
2019-12-01,Christmas Edition Assorted Mini Neapolitans Gift Box,1
2019-12-06,Christmas Edition Assorted Mini Neapolitans Gift Box,1
2019-12-11,Christmas Edition Assorted Mini Neapolitans Gift Box,4
2019-12-12,Christmas Edition Assorted Mini Neapolitans Gift Box,3
2019-12-13,Christmas Edition Assorted Mini Neapolitans Gift Box,3
2019-12-15,Christmas Edition Assorted Mini Neapolitans Gift Box,2
2019-12-19,Christmas Edition Assorted Mini Neapolitans Gift Box,2
2019-12-20,Christmas Edition Assorted Mini Neapolitans Gift Box,2
2020-11-20,Christmas Edition Assorted Mini Neapolitans Gift Box,1
2020-11-24,Christmas Edition Assorted Mini Neapolitans Gift Box,1
2020-12-01,Christmas Edition Assorted Mini Neapolitans Gift Box,4
2020-12-09,Christmas Edition Assorted Mini Neapolitans Gift Box,3
2020-12-14,Christmas Edition Assorted Mini Neapolitans Gift Box,4
2020-12-20,Christmas Edition Assorted Mini Neapolitans Gift Box,8
2020-12-21,Christmas Edition Assorted Mini Neapolitans Gift Box,1
2020-12-28,Christmas Edition Assorted Mini Neapolitans Gift Box,9
2021-01-21,Christmas Edition Assorted Mini Neapolitans Gift Box,2
