Date,Product Name,Quantity
2022-01-03,Egyptian Lemons 1kg,1
2022-02-03,Egyptian Lemons 1kg,1
2022-03-01,Egyptian Lemons 1kg,1
2022-03-02,Egyptian Lemons 1kg,3
2022-03-03,Egyptian Lemons 1kg,1
2022-03-04,Egyptian Lemons 1kg,4
2022-03-05,Egyptian Lemons 1kg,2
2022-03-06,Egyptian Lemons 1kg,2
2022-03-07,Egyptian Lemons 1kg,5
2022-03-08,Egyptian Lemons 1kg,2
2022-03-09,Egyptian Lemons 1kg,3
2022-03-10,Egyptian Lemons 1kg,1
2022-03-11,Egyptian Lemons 1kg,5
2022-03-12,Egyptian Lemons 1kg,4
2022-03-13,Egyptian Lemons 1kg,3
2022-03-14,Egyptian Lemons 1kg,2
2022-03-15,Egyptian Lemons 1kg,1
2022-03-16,Egyptian Lemons 1kg,5
2022-03-17,Egyptian Lemons 1kg,2
2022-03-18,Egyptian Yellow Lemons - 1kg,1
2022-03-18,Egyptian Lemons 1kg,1
2022-03-19,Egyptian Yellow Lemons - 1kg,3
2022-03-20,Egyptian Yellow Lemons - 1kg,1
2022-03-21,Egyptian Yellow Lemons - 1kg,1
2022-03-23,Egyptian Yellow Lemons - 1kg,1
2022-03-24,Egyptian Yellow Lemons - 1kg,1
2022-03-28,Egyptian Lemons 1kg,1
2022-03-28,Egyptian Yellow Lemons - 1kg,2
2022-03-29,Egyptian Yellow Lemons - 1kg,4
2022-03-30,Egyptian Yellow Lemons - 1kg,3
2022-03-31,Egyptian Yellow Lemons - 1kg,1
2022-04-01,Egyptian Lemons 1kg,1
2022-04-01,Egyptian Yellow Lemons - 1kg,8
2022-04-02,Egyptian Yellow Lemons - 1kg,3
2022-04-03,Egyptian Yellow Lemons - 1kg,1
2022-04-05,Egyptian Lemons 1kg,3
2022-04-05,Egyptian Yellow Lemons - 1kg,4
2022-04-06,Egyptian Lemons 1kg,1
2022-04-06,Egyptian Yellow Lemons - 1kg,1
2022-04-07,Egyptian Yellow Lemons - 1kg,1
2022-04-08,Egyptian Yellow Lemons - 1kg,3
2022-04-09,Egyptian Yellow Lemons - 1kg,3
2022-04-10,Egyptian Yellow Lemons - 1kg,4
2022-04-11,Egyptian Yellow Lemons - 1kg,6
2022-04-14,Egyptian Lemons 1kg,4
2022-04-15,Egyptian Lemons 1kg,1
2022-04-18,Egyptian Lemons 1kg,5
2022-04-19,Egyptian Lemons 1kg,4
2022-04-20,Egyptian Lemons 1kg,5
2022-04-21,Egyptian Lemons 1kg,1
2022-04-22,Egyptian Lemons 1kg,2
2022-04-25,Egyptian Lemons 1kg,1
2022-04-26,Egyptian Lemons 1kg,1
2022-04-28,Egyptian Lemons 1kg,5
2022-04-29,Egyptian Lemons 1kg,1
2022-04-30,Egyptian Lemons 1kg,1
2022-05-02,Egyptian Lemons 1kg,1
2022-05-03,Egyptian Lemons 1kg,5
2022-05-04,Egyptian Lemons 1kg,7
2022-05-05,Egyptian Lemons 1kg,2
2022-05-06,Egyptian Lemons 1kg,2
2022-05-09,Egyptian Lemons 1kg,12
2022-05-10,Egyptian Lemons 1kg,3
2022-05-11,Egyptian Lemons 1kg,2
2022-05-12,Egyptian Lemons 1kg,2
2022-05-13,Egyptian Lemons 1kg,1
2022-05-14,Egyptian Lemons 1kg,3
2022-05-15,Egyptian Lemons 1kg,2
2022-05-16,Egyptian Lemons 1kg,5
2022-05-19,Egyptian Lemons 1kg,1
2022-05-20,Egyptian Lemons 1kg,1
2022-05-21,Egyptian Lemons 1kg,4
2022-05-22,Egyptian Lemons 1kg,1
2022-05-23,Egyptian Lemons 1kg,3
2022-05-24,Egyptian Lemons 1kg,1
2022-05-25,Egyptian Lemons 1kg,1
2022-05-28,Egyptian Lemons 1kg,1
2022-05-29,Egyptian Lemons 1kg,1
2022-05-30,Egyptian Lemons 1kg,10
2022-05-31,Egyptian Lemons 1kg,5
2022-06-01,Egyptian Lemons 1kg,1
2022-06-02,Egyptian Lemons 1kg,2
2022-06-03,Egyptian Lemons 1kg,3
2022-06-04,Egyptian Lemons 1kg,1
2022-06-05,Egyptian Lemons 1kg,4
2022-06-06,Egyptian Lemons 1kg,1
2022-06-07,Egyptian Lemons 1kg,1
2022-06-08,Egyptian Lemons 1kg,3
2022-06-09,Egyptian Lemons 1kg,4
2022-06-10,Egyptian Lemons 1kg,5
2022-06-11,Egyptian Lemons 1kg,1
2022-06-12,Egyptian Lemons 1kg,1
2022-06-13,Egyptian Lemons 1kg,5
2022-06-14,Egyptian Lemons 1kg,6
2022-06-15,Egyptian Lemons 1kg,8
2022-06-16,Egyptian Lemons 1kg,5
2022-06-17,Egyptian Lemons 1kg,2
2022-06-18,Egyptian Lemons 1kg,1
2022-06-19,Egyptian Lemons 1kg,4
2022-06-20,Egyptian Lemons 1kg,5
2022-06-21,Egyptian Lemons 1kg,7
2022-06-22,Egyptian Lemons 1kg,4
2022-06-23,Egyptian Lemons 1kg,6
2022-06-24,Egyptian Lemons 1kg,2
2022-06-25,Egyptian Lemons 1kg,4
2022-06-26,Egyptian Lemons 1kg,2
2022-06-27,Egyptian Lemons 1kg,7
2022-06-28,Egyptian Lemons 1kg,5
2022-06-29,Egyptian Lemons 1kg,4
2022-06-30,Egyptian Lemons 1kg,3
2022-07-01,Egyptian Lemons 1kg,4
2022-07-02,Egyptian Lemons 1kg,2
2022-07-04,Egyptian Lemons 1kg,6
2022-07-05,Egyptian Lemons 1kg,10
2022-07-06,Egyptian Lemons 1kg,5
2022-07-07,Egyptian Lemons 1kg,1
2022-07-08,Egyptian Lemons 1kg,1
