Date,Product Name,Quantity
2024-07-05,Abony Dairies Cheddar Cheese - 200g,2
2024-07-09,Abony Dairies Cheddar Cheese - 200g,1
2024-07-22,Abony Dairies Cheddar Cheese - 200g,1
2024-07-23,Abony Dairies Cheddar Cheese - 200g,1
2024-07-26,Abony Dairies Cheddar Cheese - 200g,1
2024-07-27,Abony Dairies Cheddar Cheese - 200g,1
2024-07-28,Abony Dairies Cheddar Cheese - 200g,1
2024-07-31,Abony Dairies Cheddar Cheese - 200g,1
2024-08-01,Abony Dairies Cheddar Cheese - 200g,1
2024-08-06,Abony Dairies Cheddar Cheese - 200g,1
2024-08-12,Abony Dairies Cheddar Cheese - 200g,3
2024-08-13,Abony Dairies Cheddar Cheese - 200g,1
