Date,Product Name,Quantity
2024-01-25,Abony Dairies Mozzarella Cheese- 260g,2
2024-01-26,Abony Dairies Mozzarella Cheese- 260g,2
2024-01-30,Abony Dairies Mozzarella Cheese- 260g,1
2024-02-01,Abony Dairies Mozzarella Cheese- 260g,1
2024-02-02,Abony Dairies Mozzarella Cheese- 260g,1
2024-02-03,Abony Dairies Mozzarella Cheese- 260g,1
2024-02-04,Abony Dairies Mozzarella Cheese- 260g,1
2024-02-05,Abony Dairies Mozzarella Cheese- 260g,1
2024-02-09,Abony Dairies Mozzarella Cheese- 260g,1
2024-02-10,Abony Dairies Mozzarella Cheese- 260g,1
2024-02-14,Abony Dairies Mozzarella Cheese- 260g,1
2024-02-15,Abony Dairies Mozzarella Cheese- 260g,1
2024-02-19,Abony Dairies Mozzarella Cheese- 260g,1
2024-02-20,Abony Dairies Mozzarella Cheese- 260g,2
2024-02-23,Abony Dairies Mozzarella Cheese- 260g,4
2024-02-24,Abony Dairies Mozzarella Cheese- 260g,1
2024-02-27,Abony Dairies Mozzarella Cheese- 260g,1
2024-03-06,Abony Dairies Mozzarella Cheese- 260g,1
2024-03-07,Abony Dairies Mozzarella Cheese- 260g,3
2024-03-08,Abony Dairies Mozzarella Cheese- 260g,1
2024-03-11,Abony Dairies Mozzarella Cheese- 260g,1
2024-03-17,Abony Dairies Mozzarella Cheese- 260g,1
2024-03-20,Abony Dairies Mozzarella Cheese- 260g,1
2024-03-25,Abony Dairies Mozzarella Cheese- 260g,2
2024-03-28,Abony Dairies Mozzarella Cheese- 260g,1
2024-03-29,Abony Dairies Mozzarella Cheese- 260g,1
2024-04-03,Abony Dairies Mozzarella Cheese- 260g,3
2024-04-08,Abony Dairies Mozzarella Cheese- 260g,2
2024-04-09,Abony Dairies Mozzarella Cheese- 260g,1
2024-04-10,Abony Dairies Mozzarella Cheese- 260g,1
2024-04-11,Abony Dairies Mozzarella Cheese- 260g,1
2024-04-12,Abony Dairies Mozzarella Cheese- 260g,3
2024-04-15,Abony Dairies Mozzarella Cheese- 260g,1
2024-04-16,Abony Dairies Mozzarella Cheese- 260g,1
2024-04-18,Abony Dairies Mozzarella Cheese- 260g,1
2024-04-20,Abony Dairies Mozzarella Cheese- 260g,1
2024-04-21,Abony Dairies Mozzarella Cheese- 260g,1
2024-04-24,Abony Dairies Mozzarella Cheese- 260g,1
2024-04-27,Abony Dairies Mozzarella Cheese- 260g,1
2024-04-29,Abony Dairies Mozzarella Cheese- 260g,2
2024-04-30,Abony Dairies Mozzarella Cheese- 260g,1
2024-05-02,Abony Dairies Mozzarella Cheese- 260g,1
2024-05-03,Abony Dairies Mozzarella Cheese- 260g,2
2024-05-04,Abony Dairies Mozzarella Cheese- 260g,1
2024-05-08,Abony Dairies Mozzarella Cheese- 260g,3
2024-05-11,Abony Dairies Mozzarella Cheese- 260g,1
2024-05-13,Abony Dairies Mozzarella Cheese- 260g,1
2024-05-15,Abony Dairies Mozzarella Cheese- 260g,2
2024-05-16,Abony Dairies Mozzarella Cheese- 260g,1
2024-05-18,Abony Dairies Mozzarella Cheese- 260g,2
2024-05-19,Abony Dairies Mozzarella Cheese- 260g,1
2024-05-20,Abony Dairies Mozzarella Cheese- 260g,1
2024-05-24,Abony Dairies Mozzarella Cheese- 260g,1
2024-05-27,Abony Dairies Mozzarella Cheese- 260g,1
2024-06-02,Abony Dairies Mozzarella Cheese- 260g,1
2024-06-03,Abony Dairies Mozzarella Cheese- 260g,1
2024-06-07,Abony Dairies Mozzarella Cheese- 260g,1
2024-06-11,Abony Dairies Mozzarella Cheese- 260g,1
2024-06-12,Abony Dairies Mozzarella Cheese- 260g,1
2024-06-13,Abony Dairies Mozzarella Cheese- 260g,1
2024-06-14,Abony Dairies Mozzarella Cheese- 260g,3
2024-06-15,Abony Dairies Mozzarella Cheese- 260g,4
2024-06-16,Abony Dairies Mozzarella Cheese- 260g,2
2024-06-26,Abony Dairies Mozzarella Cheese- 260g,1
2024-06-28,Abony Dairies Mozzarella Cheese- 260g,2
2024-06-29,Abony Dairies Mozzarella Cheese- 260g,1
2024-07-03,Abony Dairies Mozzarella Cheese- 260g,3
2024-07-06,Abony Dairies Mozzarella Cheese- 260g,1
2024-07-08,Abony Dairies Mozzarella Cheese- 260g,1
2024-07-13,Abony Dairies Mozzarella Cheese- 260g,1
2024-07-19,Abony Dairies Mozzarella Cheese- 260g,1
2024-07-22,Abony Dairies Mozzarella Cheese- 260g,1
2024-07-27,Abony Dairies Mozzarella Cheese- 260g,1
2024-07-28,Abony Dairies Mozzarella Cheese- 260g,2
2024-07-30,Abony Dairies Mozzarella Cheese- 260g,1
2024-07-31,Abony Dairies Mozzarella Cheese- 260g,1
2024-08-01,Abony Dairies Mozzarella Cheese- 260g,1
2024-08-06,Abony Dairies Mozzarella Cheese- 260g,1
2024-08-08,Abony Dairies Mozzarella Cheese- 260g,1
2024-08-09,Abony Dairies Mozzarella Cheese- 260g,2
2024-08-11,Abony Dairies Mozzarella Cheese- 260g,1
