Date,Product Name,Quantity
2024-04-20,Abony Dairies Natural Yoghurt - 450ml Cup,3
2024-04-22,Abony Dairies Natural Yoghurt - 450ml Cup,2
2024-04-23,Abony Dairies Natural Yoghurt - 450ml Cup,1
2024-04-24,Abony Dairies Natural Yoghurt - 450ml Cup,1
2024-04-25,Abony Dairies Natural Yoghurt - 450ml Cup,2
2024-04-26,Abony Dairies Natural Yoghurt - 450ml Cup,2
2024-04-30,Abony Dairies Natural Yoghurt - 450ml Cup,1
2024-05-03,Abony Dairies Natural Yoghurt - 450ml Cup,4
2024-05-06,Abony Dairies Natural Yoghurt - 450ml Cup,1
2024-05-07,Abony Dairies Natural Yoghurt - 450ml Cup,2
2024-05-08,Abony Dairies Natural Yoghurt - 450ml Cup,1
2024-05-09,Abony Dairies Natural Yoghurt - 450ml Cup,2
2024-05-10,Abony Dairies Natural Yoghurt - 450ml Cup,1
2024-05-11,Abony Dairies Natural Yoghurt - 450ml Cup,1
2024-05-12,Abony Dairies Natural Yoghurt - 450ml Cup,3
2024-05-13,Abony Dairies Natural Yoghurt - 450ml Cup,3
2024-05-14,Abony Dairies Natural Yoghurt - 450ml Cup,3
2024-05-15,Abony Dairies Natural Yoghurt - 450ml Cup,4
2024-05-17,Abony Dairies Natural Yoghurt - 450ml Cup,1
2024-05-23,Abony Dairies Natural Yoghurt - 450ml Cup,1
2024-05-29,Abony Dairies Natural Yoghurt - 450ml Cup,5
2024-06-03,Abony Dairies Natural Yoghurt - 450ml Cup,4
2024-06-04,Abony Dairies Natural Yoghurt - 450ml Cup,3
2024-06-06,Abony Dairies Natural Yoghurt - 450ml Cup,4
2024-06-11,Abony Dairies Natural Yoghurt - 450ml Cup,3
2024-06-12,Abony Dairies Natural Yoghurt - 450ml Cup,1
2024-06-13,Abony Dairies Natural Yoghurt - 450ml Cup,3
2024-06-14,Abony Dairies Natural Yoghurt - 450ml Cup,4
2024-06-16,Abony Dairies Natural Yoghurt - 450ml Cup,1
2024-06-17,Abony Dairies Natural Yoghurt - 450ml Cup,2
2024-06-18,Abony Dairies Natural Yoghurt - 450ml Cup,1
2024-06-20,Abony Dairies Natural Yoghurt - 450ml Cup,1
2024-06-21,Abony Dairies Natural Yoghurt - 450ml Cup,3
2024-07-23,Abony Dairies Natural Yoghurt - 450ml Cup,2
2024-07-24,Abony Dairies Natural Yoghurt - 450ml Cup,2
2024-08-01,Abony Dairies Natural Yoghurt - 450ml Cup,3
2024-08-05,Abony Dairies Natural Yoghurt - 450ml Cup,2
2024-08-09,Abony Dairies Natural Yoghurt - 450ml Cup,1
