Date,Product Name,Quantity
2024-04-19,Abony Dairies Tropical Yoghurt - 150ml,2
2024-04-25,Abony Dairies Tropical Yoghurt - 150ml,1
2024-04-30,Abony Dairies Tropical Yoghurt - 150ml,1
2024-05-03,Abony Dairies Tropical Yoghurt - 150ml,2
2024-05-06,Abony Dairies Tropical Yoghurt - 150ml,1
2024-05-07,Abony Dairies Tropical Yoghurt - 150ml,2
2024-05-08,Abony Dairies Tropical Yoghurt - 150ml,3
2024-05-12,Abony Dairies Tropical Yoghurt - 150ml,2
2024-06-02,Abony Dairies Tropical Yoghurt - 150ml,1
2024-06-03,Abony Dairies Tropical Yoghurt - 150ml,3
2024-06-10,Abony Dairies Tropical Yoghurt - 150ml,1
2024-06-17,Abony Dairies Tropical Yoghurt - 150ml,2
2024-07-01,Abony Dairies Tropical Yoghurt - 150ml,1
2024-07-09,Abony Dairies Tropical Yoghurt - 150ml,1
