Date,Product Name,Quantity
2023-05-11,Achaari Punjabi Mango Pickle -330g,1
2023-05-22,Achaari Punjabi Mango Pickle -330g,1
2023-05-30,Achaari Punjabi Mango Pickle -330g,1
2023-06-08,Achaari Punjabi Mango Pickle -330g,1
2023-06-20,Achaari Punjabi Mango Pickle -330g,1
2023-07-17,Achaari Punjabi Mango Pickle -330g,1
2023-08-14,Achaari Punjabi Mango Pickle - 330g,1
2023-09-11,Achaari Punjabi Mango Pickle - 330g,2
2023-09-13,Achaari Punjabi Mango Pickle - 330g,1
2023-09-18,Achaari Punjabi Mango Pickle - 330g,1
2023-09-23,Achaari Punjabi Mango Pickle - 330g,1
2023-09-25,Achaari Punjabi Mango Pickle - 330g,1
2023-10-16,Achaari Punjabi Mango Pickle - 330g,1
2023-10-17,Achaari Punjabi Mango Pickle - 330g,1
2023-11-05,Achaari Punjabi Mango Pickle - 330g,1
2023-12-15,Achaari Punjabi Mango Pickle - 330g,1
2023-12-21,Achaari Punjabi Mango Pickle - 330g,1
2024-01-17,Achaari Punjabi Mango Pickle - 330g,1
2024-01-27,Achaari Punjabi Mango Pickle - 330g,1
2024-02-13,Achaari Punjabi Mango Pickle - 330g,1
2024-02-17,Achaari Punjabi Mango Pickle - 330g,1
2024-02-19,Achaari Punjabi Mango Pickle - 330g,1
2024-03-06,Achaari Punjabi Mango Pickle - 330g,1
2024-03-27,Achaari Punjabi Mango Pickle - 330g,1
2024-04-03,Achaari Punjabi Mango Pickle - 330g,1
