Date,Product Name,Quantity
2022-08-15,African Forest Soap Nuts - 1 Bag,1
2022-08-22,African Forest Soap Nuts - 1 Bag,1
2022-08-25,African Forest Soap Nuts - 1 Bag,1
2022-08-27,African Forest Soap Nuts - 1 Bag,1
2022-09-28,African Forest Soap Nuts - 1 Bag,1
2022-10-11,African Forest Soap Nuts - 1 Bag,2
2023-02-22,African Forest Soap Nuts - 1 Bag,1
2023-03-14,African Forest Soap Nuts - 1 Bag,1
2023-04-22,African Forest Soap Nuts - 1 Bag,1
2023-06-26,African Forest Soap Nuts - 1 Bag,1
2023-07-24,African Forest Soap Nuts - 1 Bag,1
2023-08-10,African Forest Soap Nuts - 1 Bag,1
2023-09-24,African Forest Soap Nuts - 1 Bag,1
