Date,Product Name,Quantity
2023-02-26,Alphajiri Farmers' Crunchy Peanut Butter - 200g,1
2023-02-28,Alphajiri Farmers' Crunchy Peanut Butter - 200g,1
2023-03-02,Alphajiri Farmers' Crunchy Peanut Butter - 200g,1
2023-03-04,Alphajiri Farmers' Crunchy Peanut Butter - 200g,1
2023-03-05,Alphajiri Farmers' Crunchy Peanut Butter - 200g,1
2023-03-06,Alphajiri Farmers' Crunchy Peanut Butter - 200g,3
2023-03-21,Alphajiri Farmers' Crunchy Peanut Butter - 200g,1
2023-03-23,Alphajiri Farmers' Crunchy Peanut Butter - 200g,1
2023-03-25,Alphajiri Farmers' Crunchy Peanut Butter - 200g,1
2023-04-13,Alphajiri Farmers' Crunchy Peanut Butter - 200g,1
2023-04-19,Alphajiri Farmers' Crunchy Peanut Butter - 200g,1
2023-04-21,Alphajiri Farmers' Crunchy Peanut Butter - 200g,1
2023-04-27,Alphajiri Farmers' Crunchy Peanut Butter - 200g,1
2023-04-28,Alphajiri Farmers' Crunchy Peanut Butter - 200g,1
2023-04-29,Alphajiri Farmers' Crunchy Peanut Butter - 200g,2
2023-05-06,Alphajiri Farmers' Crunchy Peanut Butter - 200g,1
2023-05-08,Alphajiri Farmers' Crunchy Peanut Butter - 200g,2
2023-05-10,Alphajiri Farmers' Crunchy Peanut Butter - 200g,1
2023-05-11,Alphajiri Farmers' Crunchy Peanut Butter - 200g,1
2023-05-12,Alphajiri Farmers' Crunchy Peanut Butter - 200g,4
2023-05-13,Alphajiri Farmers' Crunchy Peanut Butter - 200g,3
2023-05-14,Alphajiri Farmers' Crunchy Peanut Butter - 200g,2
