Date,Product Name,Quantity
2023-02-06,Alphajiri Farmers' Peanut Butter - 400g,1
2023-02-07,Alphajiri Farmers' Peanut Butter - 400g,5
2023-02-17,Alphajiri Farmers' Peanut Butter - 400g,4
2023-02-19,Alphajiri Farmers' Peanut Butter - 400g,2
2023-02-21,Alphajiri Farmers' Peanut Butter - 400g,1
2023-02-23,Alphajiri Farmers' Peanut Butter - 400g,1
2023-02-24,Alphajiri Farmers' Peanut Butter - 400g,1
2023-02-25,Alphajiri Farmers' Peanut Butter - 400g,1
2023-02-28,Alphajiri Farmers' Peanut Butter - 400g,2
2023-03-08,Alphajiri Farmers' Peanut Butter - 400g,2
2023-03-09,Alphajiri Farmers' Peanut Butter - 400g,1
2023-03-11,Alphajiri Farmers' Peanut Butter - 400g,1
2023-03-12,Alphajiri Farmers' Peanut Butter - 400g,1
2023-03-13,Alphajiri Farmers' Peanut Butter - 400g,6
2023-03-15,Alphajiri Farmers' Peanut Butter - 400g,2
2023-03-17,Alphajiri Farmers' Peanut Butter - 400g,2
2023-03-18,Alphajiri Farmers' Peanut Butter - 400g,1
2023-03-19,Alphajiri Farmers' Peanut Butter - 400g,1
2023-03-24,Alphajiri Farmers' Peanut Butter - 400g,1
2023-03-27,Alphajiri Farmers' Peanut Butter - 400g,1
2023-03-29,Alphajiri Farmers' Peanut Butter - 400g,1
2023-03-30,Alphajiri Farmers' Peanut Butter - 400g,1
2023-04-06,Alphajiri Farmers' Peanut Butter - 400g,4
2023-04-07,Alphajiri Farmers' Peanut Butter - 400g,1
2023-04-13,Alphajiri Farmers' Peanut Butter - 400g,1
2023-04-17,Alphajiri Farmers' Peanut Butter - 400g,1
2023-04-24,Alphajiri Farmers' Peanut Butter - 400g,2
2023-04-25,Alphajiri Farmers' Peanut Butter - 400g,2
2023-04-26,Alphajiri Farmers' Peanut Butter - 400g,1
2023-04-27,Alphajiri Farmers' Peanut Butter - 400g,2
2023-04-28,Alphajiri Farmers' Peanut Butter - 400g,1
2023-04-29,Alphajiri Farmers' Peanut Butter - 400g,1
2023-04-30,Alphajiri Farmers' Peanut Butter - 400g,2
2023-05-03,Alphajiri Farmers' Peanut Butter - 400g,1
2023-05-05,Alphajiri Farmers' Peanut Butter - 400g,1
2023-05-18,Alphajiri Farmers' Peanut Butter - 400g,1
2023-05-22,Alphajiri Farmers' Peanut Butter - 400g,1
2023-05-23,Alphajiri Farmers' Peanut Butter - 400g,5
2023-05-25,Alphajiri Farmers' Peanut Butter - 400g,4
2023-05-26,Alphajiri Farmers' Peanut Butter - 400g,1
2023-05-28,Alphajiri Farmers' Peanut Butter - 400g,1
2023-05-30,Alphajiri Farmers' Peanut Butter - 400g,1
2023-06-01,Alphajiri Farmers' Peanut Butter - 400g,1
2023-06-03,Alphajiri Farmers' Peanut Butter - 400g,1
2023-06-04,Alphajiri Farmers' Peanut Butter - 400g,4
2023-06-05,Alphajiri Farmers' Peanut Butter - 400g,3
2023-06-11,Alphajiri Farmers' Peanut Butter - 400g,1
2023-06-12,Alphajiri Farmers' Peanut Butter - 400g,1
2023-06-13,Alphajiri Farmers' Peanut Butter - 400g,1
2023-06-14,Alphajiri Farmers' Peanut Butter - 400g,1
2023-06-17,Alphajiri Farmers' Peanut Butter - 400g,1
2023-06-18,Alphajiri Farmers' Peanut Butter - 400g,3
2023-06-19,Alphajiri Farmers' Peanut Butter - 400g,3
2023-06-20,Alphajiri Farmers' Peanut Butter - 400g,1
2023-06-21,Alphajiri Farmers' Peanut Butter - 400g,2
2023-06-22,Alphajiri Farmers' Peanut Butter - 400g,1
2023-06-23,Alphajiri Farmers' Peanut Butter - 400g,6
2023-06-24,Alphajiri Farmers' Peanut Butter - 400g,1
2023-06-27,Alphajiri Farmers' Peanut Butter - 400g,1
2023-06-28,Alphajiri Farmers' Peanut Butter - 400g,2
2023-06-30,Alphajiri Farmers' Peanut Butter - 400g,3
2023-07-01,Alphajiri Farmers' Peanut Butter - 400g,1
2023-07-03,Alphajiri Farmers' Peanut Butter - 400g,2
2023-07-05,Alphajiri Farmers' Peanut Butter - 400g,4
2023-07-06,Alphajiri Farmers' Peanut Butter - 400g,1
2023-07-07,Alphajiri Farmers' Peanut Butter - 400g,7
2023-07-09,Alphajiri Farmers' Peanut Butter - 400g,1
2023-07-10,Alphajiri Farmers' Peanut Butter - 400g,1
2023-07-12,Alphajiri Farmers' Peanut Butter - 400g,1
2023-07-13,Alphajiri Farmers' Peanut Butter - 400g,1
2023-07-14,Alphajiri Farmers' Peanut Butter - 400g,1
2023-07-17,Alphajiri Farmers' Peanut Butter - 400g,1
2023-07-18,Alphajiri Farmers' Peanut Butter - 400g,3
2023-07-19,Alphajiri Farmers' Peanut Butter - 400g,1
2023-07-21,Alphajiri Farmers' Peanut Butter - 400g,1
2023-07-23,Alphajiri Farmers' Peanut Butter - 400g,1
2023-07-24,Alphajiri Farmers' Peanut Butter - 400g,3
2023-07-25,Alphajiri Farmers' Peanut Butter - 400g,2
2023-07-26,Alphajiri Farmers' Peanut Butter - 400g,1
2023-08-03,Alphajiri Farmers' Peanut Butter - 400g,1
2023-08-05,Alphajiri Farmers' Peanut Butter - 400g,2
2023-08-07,Alphajiri Farmers' Peanut Butter - 400g,3
2023-08-08,Alphajiri Farmers' Peanut Butter - 400g,1
2023-08-10,Alphajiri Farmers' Peanut Butter - 400g,3
2023-08-11,Alphajiri Farmers' Peanut Butter - 400g,5
2023-08-13,Alphajiri Farmers' Peanut Butter - 400g,2
2023-08-14,Alphajiri Farmers' Peanut Butter - 400g,2
2023-08-16,Alphajiri Farmers' Peanut Butter - 400g,6
2023-08-17,Alphajiri Farmers' Peanut Butter - 400g,1
2023-08-21,Alphajiri Farmers' Peanut Butter - 400g,2
2023-08-22,Alphajiri Farmers' Peanut Butter - 400g,2
2023-08-23,Alphajiri Farmers' Peanut Butter - 400g,1
