Date,Product Name,Quantity
2023-02-08,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-02-10,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-02-11,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-02-12,Alphajiri Farmers' Hundred Flower Honey - 350g,2
2023-02-15,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-02-17,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-02-19,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-02-20,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-02-23,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-02-24,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-02-27,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-02-28,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-03-02,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-03-03,Alphajiri Farmers' Hundred Flower Honey - 350g,2
2023-03-06,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-03-10,Alphajiri Farmers' Hundred Flower Honey - 350g,2
2023-03-13,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-03-14,Alphajiri Farmers' Hundred Flower Honey - 350g,4
2023-03-17,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-03-20,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-03-22,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-03-26,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-04-03,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-04-04,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-04-05,Alphajiri Farmers' Hundred Flower Honey - 350g,2
2023-04-10,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-04-17,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-04-19,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-04-21,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-04-25,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-04-28,Alphajiri Farmers' Hundred Flower Honey - 350g,2
2023-05-08,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-05-10,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-05-12,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-05-17,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-05-22,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-06-05,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-06-06,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-06-09,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-06-10,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-06-15,Alphajiri Farmers' Hundred Flower Honey - 350g,2
2023-06-20,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-06-30,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-07-01,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-07-04,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-07-08,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-07-09,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-07-13,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-07-15,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-07-18,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-07-22,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-07-24,Alphajiri Farmers' Hundred Flower Honey - 350g,2
2023-07-26,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-08-04,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-08-05,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-08-06,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-08-19,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-08-24,Alphajiri Farmers' Hundred Flower Honey - 350g,2
2023-08-28,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-09-01,Alphajiri Farmers' Hundred Flower Honey - 350g,2
2023-09-04,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-09-14,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-09-18,Alphajiri Farmers' Hundred Flower Honey - 350g,2
2023-09-23,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-09-29,Alphajiri Farmers' Hundred Flower Honey - 350g,4
2023-10-02,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-10-07,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-10-11,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-10-13,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-10-14,Alphajiri Farmers' Hundred Flower Honey - 350g,1
2023-10-21,Alphajiri Farmers' Hundred Flower Honey - 350g,2
