Date,Product Name,Quantity
2022-04-15,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,1
2022-04-16,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,2
2022-04-18,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,1
2022-04-19,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,1
2022-04-23,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,1
2022-04-28,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,2
2022-05-02,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,1
2022-05-05,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,2
2022-05-09,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,2
2022-05-10,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,1
2022-05-17,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,2
2022-05-20,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,1
2022-05-21,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,6
2022-05-22,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,1
2022-05-23,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,2
2022-05-25,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,1
2022-05-26,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,2
2022-06-01,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,1
2022-06-06,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,3
2022-06-07,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,2
2022-06-13,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,1
2022-06-15,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,2
2022-06-16,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,1
2022-06-18,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,1
2022-06-25,Alphajiri Greengrocer's Kimchi - 650g - Mild Hot,2
