Date,Product Name,Quantity
2022-04-16,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-04-18,Alphajiri Greengrocer's Miso Paste - 330g,2
2022-04-20,Alphajiri Greengrocer's Miso Paste - 330g,2
2022-04-26,Alphajiri Greengrocer's Miso Paste - 330g,2
2022-04-29,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-05-05,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-05-09,Alphajiri Greengrocer's Miso Paste - 330g,2
2022-05-12,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-05-13,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-05-15,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-05-17,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-05-18,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-05-19,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-05-20,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-05-25,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-05-27,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-05-30,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-06-03,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-06-09,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-06-24,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-06-26,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-07-06,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-07-08,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-07-11,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-07-25,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-07-30,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-08-01,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-08-06,Alphajiri Greengrocer's Miso Paste - 330g,1
2022-08-07,Alphajiri Greengrocer's Miso Paste - 330g,1
