Date,Product Name,Quantity
2024-03-12,AJ Nuts Plain Almonds - 500g,1
2024-03-13,AJ Nuts Plain Almonds - 500g,1
2024-03-17,AJ Nuts Plain California Almonds - 500g,1
2024-04-14,AJ Nuts Plain California Almonds - 500g,1
2024-04-15,AJ Nuts Plain California Almonds - 500g,1
2024-04-27,AJ Nuts Plain California Almonds - 500g,1
2024-05-03,AJ Nuts Plain California Almonds - 500g,1
2024-05-06,AJ Nuts Plain California Almonds - 500g,1
2024-05-08,AJ Nuts Plain California Almonds - 500g,1
2024-06-09,AJ Nuts Plain California Almonds - 500g,1
2024-06-16,AJ Nuts Plain California Almonds - 500g,1
2024-06-17,AJ Nuts Plain California Almonds - 500g,1
2024-06-20,AJ Nuts Plain California Almonds - 500g,1
2024-06-24,AJ Nuts Plain California Almonds - 500g,1
2024-07-19,AJ Nuts Plain California Almonds - 500g,1
2024-07-29,AJ Nuts Plain California Almonds - 500g,1
2024-08-04,AJ Nuts Plain California Almonds - 500g,1
