Date,Product Name,Quantity
2024-03-13,AJ Nuts Chilly Lemon Cashews - 500g,1
2024-03-21,AJ Nuts Chilly Lemon Cashews - 500g,2
2024-05-03,AJ Nuts Chilly Lemon Cashews - 500g,4
2024-06-15,AJ Nuts Chilly Lemon Cashews - 500g,1
2024-06-18,AJ Nuts Chilly Lemon Cashews - 500g,1
2024-06-20,AJ Nuts Chilly Lemon Cashews - 500g,1
2024-07-02,AJ Nuts Chilly Lemon Cashews - 500g,1
2024-07-06,AJ Nuts Chilly Lemon Cashews - 500g,1
2024-07-16,AJ Nuts Chilly Lemon Cashews - 500g,1
2024-08-01,AJ Nuts Chilly Lemon Cashews - 500g,3
2024-08-07,AJ Nuts Chilly Lemon Cashews - 500g,1
2024-08-12,AJ Nuts Chilly Lemon Cashews - 500g,1
