Date,Product Name,Quantity
2023-05-17,AJ Nuts Californian Pistachios - 250g,1
2023-05-20,AJ Nuts Californian Pistachios - 250g,2
2023-06-07,AJ Nuts Californian Pistachios - 250g,2
2023-06-15,AJ Nuts Californian Pistachios - 250g,1
2023-06-18,AJ Nuts Californian Pistachios - 250g,1
2023-08-07,AJ Nuts Californian Pistachios - 250g,1
2023-09-08,AJ Nuts Californian Pistachios - 250g,1
2023-09-16,AJ Nuts Californian Pistachios - 250g,1
2023-09-28,AJ Nuts Californian Pistachios - 250g,1
2023-11-27,AJ Nuts Californian Pistachios - 250g,1
2023-12-24,AJ Nuts Californian Pistachios - 250g,1
2024-01-02,AJ Nuts Californian Pistachios - 250g,1
2024-02-13,AJ Nuts Californian Pistachios - 250g,1
2024-02-19,AJ Nuts Californian Pistachios - 250g,1
2024-02-20,AJ Nuts Californian Pistachios - 250g,1
2024-03-11,AJ Nuts Californian Pistachios - 250g,1
2024-03-22,AJ Nuts Californian Pistachios - 250g,1
2024-03-27,AJ Nuts Californian Pistachios - 250g,1
2024-04-18,AJ Nuts Californian Pistachios - 250g,1
2024-05-06,AJ Nuts Californian Pistachios - 250g,1
2024-05-08,AJ Nuts Californian Pistachios - 250g,1
2024-05-21,AJ Nuts Californian Pistachios - 250g,1
2024-05-23,AJ Nuts Californian Pistachios - 250g,1
2024-05-29,AJ Nuts Californian Pistachios - 250g,1
2024-05-31,AJ Nuts Californian Pistachios - 250g,3
2024-06-05,AJ Nuts Californian Pistachios - 250g,1
