Date,Product Name,Quantity
2024-03-13,AJ Nuts White Chocolate Pistachio Dates - 200g,1
2024-03-14,AJ Nuts White Chocolate Pistachio Dates - 200g,1
2024-03-15,AJ Nuts White Chocolate Pistachio Dates - 200g,1
2024-04-23,AJ Nuts White Chocolate Pistachio Dates - 250g,1
2024-04-30,AJ Nuts White Chocolate Pistachio Dates - 250g,1
2024-05-03,AJ Nuts White Chocolate Pistachio Dates - 250g,2
2024-05-20,AJ Nuts White Chocolate Pistachio Dates - 250g,1
2024-06-05,AJ Nuts White Chocolate Pistachio Dates - 250g,1
2024-06-15,AJ Nuts White Chocolate Pistachio Dates - 250g,1
2024-06-22,AJ Nuts White Chocolate Pistachio Dates - 250g,1
2024-06-30,AJ Nuts White Chocolate Pistachio Dates - 250g,1
2024-07-21,AJ Nuts White Chocolate Pistachio Dates - 250g,1
2024-07-22,AJ Nuts White Chocolate Pistachio Dates - 250g,1
2024-08-01,AJ Nuts White Chocolate Pistachio Dates - 250g,1
2024-08-04,AJ Nuts White Chocolate Pistachio Dates - 250g,1
2024-08-09,AJ Nuts White Chocolate Pistachio Dates - 250g,1
