Date,Product Name,Quantity
2023-05-29,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-06-09,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-06-14,Alys Greens Bentonite Clay Bar Soap - 100g,2
2023-06-21,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-06-28,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-07-10,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-07-13,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-08-07,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-08-10,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-08-27,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-09-03,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-09-12,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-10-01,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-10-19,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-10-31,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-11-20,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-11-22,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-11-24,Alys Greens Bentonite Clay Bar Soap - 100g,2
2023-12-04,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-12-11,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-12-14,Alys Greens Bentonite Clay Bar Soap - 100g,2
2023-12-18,Alys Greens Bentonite Clay Bar Soap - 100g,2
2023-12-20,Alys Greens Bentonite Clay Bar Soap - 100g,1
2023-12-21,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-01-01,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-01-10,Alys Greens Bentonite Clay Bar Soap - 100g,2
2024-01-18,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-01-20,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-01-30,Alys Greens Bentonite Clay Bar Soap - 100g,2
2024-02-03,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-02-04,Alys Greens Bentonite Clay Bar Soap - 100g,2
2024-02-13,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-02-27,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-03-01,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-03-10,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-03-13,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-04-08,Alys Greens Bentonite Clay Bar Soap - 100g,2
2024-04-13,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-04-27,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-05-04,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-05-06,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-06-01,Alys Greens Bentonite Clay Bar Soap - 100g,2
2024-06-03,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-06-26,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-07-08,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-07-19,Alys Greens Bentonite Clay Bar Soap - 100g,1
2024-07-28,Alys Greens Bentonite Clay Bar Soap - 100g,2
