Date,Product Name,Quantity
2022-11-13,Mikado Plum Flavoured Sweet White Wine,1
2022-11-18,Mikado Plum Flavoured Sweet White Wine,1
2022-11-20,Mikado Plum Flavoured Sweet White Wine,1
2022-11-29,Mikado Plum Flavoured Sweet White Wine,1
2022-12-17,Mikado Plum Flavoured Sweet White Wine,1
2022-12-24,Mikado Plum Flavoured Sweet White Wine,1
2022-12-25,Mikado Plum Flavoured Sweet White Wine,2
2022-12-30,Mikado Plum Flavoured Sweet White Wine,1
2022-12-31,Mikado Plum Flavoured Sweet White Wine,1
2023-01-28,Mikado Plum Flavoured Sweet White Wine,2
2023-02-17,Mikado Plum Flavoured Sweet White Wine,1
2023-03-19,Mikado Plum Flavoured Sweet White Wine,1
2023-03-24,Mikado Plum Flavoured Sweet White Wine,2
2023-05-19,Mikado Plum Flavoured Sweet White Wine,1
