Date,Product Name,Quantity
2022-03-21,Indulge Brazil Nuts - 75g,1
2022-03-23,Indulge Brazil Nuts - 75g,2
2022-03-31,Indulge Brazil Nuts - 75g,1
2022-04-25,Indulge Brazil Nuts - 75g,1
2022-05-09,Indulge Brazil Nuts - 75g,1
2022-05-30,Indulge Brazil Nuts - 75g,2
2022-06-22,Indulge Brazil Nuts - 75g,1
2022-07-31,Indulge Brazil Nuts - 75g,1
2022-08-01,Indulge Brazil Nuts - 75g,1
2022-08-15,Indulge Brazil Nuts - 75g,1
2022-10-03,Indulge Brazil Nuts - 75g,1
2022-11-01,Indulge Brazil Nuts - 75g,1
2022-11-16,Indulge Brazil Nuts - 75g,1
2022-11-29,Indulge Brazil Nuts - 75g,1
2022-12-20,Indulge Brazil Nuts - 75g,2
2022-12-21,Indulge Brazil Nuts - 75g,1
2023-01-04,Indulge Brazil Nuts - 75g,1
2023-01-09,Indulge Brazil Nuts - 75g,1
2023-02-04,Indulge Brazil Nuts - 75g,1
2023-02-09,Indulge Brazil Nuts - 75g,1
2023-02-19,Indulge Brazil Nuts - 75g,2
2023-02-27,Indulge Brazil Nuts - 75g,2
2023-03-20,Indulge Brazil Nuts - 75g,1
2023-03-21,Indulge Brazil Nuts - 75g,1
2023-04-21,Indulge Brazil Nuts - 75g,4
2023-05-08,Indulge Brazil Nuts - 75g,1
2023-05-09,Indulge Brazil Nuts - 75g,1
2023-05-16,Indulge Brazil Nuts - 75g,2
2023-05-22,Indulge Brazil Nuts - 75g,1
2023-06-04,Indulge Brazil Nuts - 75g,1
2023-06-07,Indulge Brazil Nuts - 75g,2
2023-06-26,Indulge Brazil Nuts - 75g,1
2023-07-03,Indulge Brazil Nuts - 75g,2
2023-07-10,Indulge Brazil Nuts - 75g,1
2023-07-19,Indulge Brazil Nuts - 75g,1
2023-07-23,Indulge Brazil Nuts - 75g,1
2023-08-03,Indulge Brazil Nuts - 75g,1
2023-08-26,Indulge Brazil Nuts - 75g,1
2023-09-04,Indulge Brazil Nuts - 75g,1
2023-09-06,Indulge Brazil Nuts - 75g,1
2023-09-28,Indulge Brazil Nuts - 75g,1
2023-10-08,Indulge Brazil Nuts - 75g,1
2023-10-09,Indulge Brazil Nuts - 75g,1
2023-10-21,Indulge Brazil Nuts - 75g,1
2023-10-27,Indulge Brazil Nuts - 75g,2
2023-10-30,Indulge Brazil Nuts - 75g,1
2023-11-29,Indulge Brazil Nuts - 75g,1
2023-12-04,Indulge Brazil Nuts - 75g,2
2023-12-16,Indulge Brazil Nuts - 75g,1
2023-12-18,Indulge Brazil Nuts - 75g,2
2024-01-18,Indulge Brazil Nuts - 75g,1
2024-01-24,Indulge Brazil Nuts - 75g,1
2024-01-30,Indulge Brazil Nuts - 75g,1
2024-02-01,Indulge Brazil Nuts - 75g,1
2024-02-08,Indulge Brazil Nuts - 75g,1
2024-02-12,Indulge Brazil Nuts - 75g,1
2024-03-07,Indulge Brazil Nuts - 75g,2
2024-03-10,Indulge Brazil Nuts - 75g,1
2024-03-15,Indulge Brazil Nuts - 75g,1
2024-04-03,Indulge Brazil Nuts - 75g,1
2024-04-06,Indulge Brazil Nuts - 75g,3
2024-04-12,Indulge Brazil Nuts - 75g,1
2024-05-01,Indulge Brazil Nuts - 75g,1
2024-05-06,Indulge Brazil Nuts - 75g,2
