Date,Product Name,Quantity
2022-06-14,Indulge Sundried Pineapple - 175g,1
2022-06-16,Indulge Sundried Pineapple - 175g,1
2022-07-12,Indulge Sundried Pineapple - 175g,1
2022-08-03,Indulge Sundried Pineapple - 175g,3
2022-08-14,Indulge Sundried Pineapple - 175g,1
2022-08-29,Indulge Sundried Pineapple - 175g,1
2022-09-02,Indulge Sundried Pineapple - 175g,1
2022-09-19,Indulge Sundried Pineapple - 175g,1
2022-09-26,Indulge Sundried Pineapple - 175g,1
2022-10-03,Indulge Sundried Pineapple - 175g,1
2022-11-21,Indulge Sundried Pineapple - 175g,1
2022-11-22,Indulge Sundried Pineapple - 175g,1
2022-11-24,Indulge Sundried Pineapple - 175g,1
2022-12-06,Indulge Sundried Pineapple - 175g,7
2023-01-28,Indulge Sundried Pineapple - 175g,1
2023-02-06,Indulge Sundried Pineapple - 175g,1
2023-02-09,Indulge Sundried Pineapple - 175g,1
2023-02-14,Indulge Sundried Pineapple - 175g,1
2023-02-16,Indulge Sundried Pineapple - 175g,1
2023-03-20,Indulge Sundried Pineapple - 175g,1
2023-03-28,Indulge Sundried Pineapple - 175g,1
2023-04-04,Indulge Sundried Pineapple - 175g,1
2023-04-12,Indulge Sundried Pineapple - 175g,2
2023-04-21,Indulge Sundried Pineapple - 175g,1
2024-01-14,Indulge Sundried Pineapple - 175g,1
2024-01-23,Indulge Sundried Pineapple - 175g,1
2024-01-26,Indulge Sundried Pineapple - 175g,1
2024-02-06,Indulge Sundried Pineapple - 175g,1
2024-02-19,Indulge Sundried Pineapple - 175g,1
2024-03-08,Indulge Sundried Pineapple - 175g,1
2024-05-03,Indulge Sundried Pineapple - 175g,1
2024-05-06,Indulge Sundried Pineapple - 175g,1
2024-05-15,Indulge Sundried Pineapple - 175g,1
