Date,Product Name,Quantity
2023-01-19,Little Italy Mother's Lasagna (Frozen) - 550g,1
2023-01-28,Little Italy Mother's Lasagna (Frozen) - 550g,1
2023-01-29,Little Italy Mother's Lasagna (Frozen) - 550g,1
2023-02-06,Little Italy Mother's Lasagna (Frozen) - 550g,1
2023-02-13,Little Italy Mother's Lasagna (Frozen) - 550g,1
2023-02-27,Little Italy Mother's Beef Lasagna (Frozen) - 550g,2
2023-03-02,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-03-12,Little Italy Mother's Beef Lasagna (Frozen) - 550g,2
2023-03-14,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-03-24,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-03-26,Little Italy Mother's Beef Lasagna (Frozen) - 550g,2
2023-03-27,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-03-28,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-03-30,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-04-03,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-04-06,Little Italy Mother's Beef Lasagna (Frozen) - 550g,2
2023-04-14,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-04-15,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-04-16,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-04-19,Little Italy Mother's Beef Lasagna (Frozen) - 550g,3
2023-04-23,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-04-27,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-04-28,Little Italy Mother's Beef Lasagna (Frozen) - 550g,2
2023-04-29,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-04-30,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-05-04,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-05-12,Little Italy Mother's Beef Lasagna (Frozen) - 550g,2
2023-05-14,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-05-15,Little Italy Mother's Beef Lasagna (Frozen) - 550g,4
2023-05-18,Little Italy Mother's Beef Lasagna (Frozen) - 550g,2
2023-05-19,Little Italy Mother's Beef Lasagna (Frozen) - 550g,2
2023-05-23,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-05-24,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-05-25,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-05-30,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-05-31,Little Italy Mother's Beef Lasagna (Frozen) - 550g,2
2023-06-03,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-06-09,Little Italy Mother's Beef Lasagna (Frozen) - 550g,2
2023-06-11,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-06-13,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-06-14,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-06-18,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-06-20,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-06-22,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-06-28,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-07-03,Little Italy Mother's Beef Lasagna (Frozen) - 550g,2
2023-07-05,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-07-06,Little Italy Mother's Beef Lasagna (Frozen) - 550g,1
2023-07-08,Little Italy Mother's Beef Lasagna (Frozen) - 550g,2
2023-07-10,Little Italy Mother's Beef Lasagna (Frozen) - 550g,2
2023-07-11,Little Italy Mother's Beef Lasagna (Frozen) - 550g,2
