Date,Product Name,Quantity
2023-11-19,DILLI! Curries & Siam Thai Green Curry- 400g,2
2023-11-23,DILLI! Curries & Siam Thai Green Curry- 400g,1
2023-11-27,DILLI! Curries & Siam Thai Green Curry- 400g,1
2023-11-28,DILLI! Curries & Siam Thai Green Curry- 400g,1
2023-11-29,DILLI! Curries & Siam Thai Green Curry- 400g,2
2023-12-01,Ando Foods Dilli Curries & Siam Thai Green Curry- 400g,1
2023-12-03,Ando Foods Dilli Curries & Siam Thai Green Curry- 400g,1
2023-12-04,Ando Foods Dilli Curries & Siam Thai Green Curry- 400g,2
2023-12-05,Ando Foods Dilli Curries & Siam Thai Green Curry- 400g,1
2023-12-09,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",2
2023-12-13,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",1
2023-12-15,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",1
2023-12-16,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",3
2023-12-18,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",2
2023-12-22,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",3
2023-12-23,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",1
2023-12-29,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",2
2024-01-02,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",2
2024-01-05,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",1
2024-01-06,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",3
2024-01-07,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",2
2024-01-08,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",1
2024-01-09,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",4
2024-01-12,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",3
2024-01-13,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",2
2024-01-14,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",5
2024-01-15,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",2
2024-01-21,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",1
2024-01-22,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",2
2024-01-23,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",2
2024-01-27,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",3
2024-01-29,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",2
2024-01-30,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",1
2024-01-31,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",1
2024-02-03,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",3
2024-02-04,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",4
2024-02-06,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",1
2024-02-08,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",1
2024-02-11,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",1
2024-02-19,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",1
2024-02-25,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",1
2024-02-26,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",1
2024-02-27,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",2
2024-02-28,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",1
2024-03-02,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",3
2024-03-04,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",2
2024-03-07,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",1
2024-03-08,"Siam Thai Kitchen - Thai Green Curry (Chicken, Frozen) - 400g",2
