Date,Product Name,Quantity
2022-02-18,Naivasha Yellow Capsicum - 250g,2
2022-02-18,Yellow Pepper 250g Punnet,2
2022-03-12,Naivasha yellow Capsicum 250g,3
2022-03-14,Naivasha Yellow Capsicum - 250g,1
2022-03-15,Naivasha Yellow Capsicum - 250g,5
2022-03-16,Naivasha Yellow Capsicum - 250g,3
2022-03-17,Naivasha Yellow Capsicum - 250g,2
2022-03-18,Naivasha Yellow Capsicum - 250g,3
2022-03-21,Naivasha Yellow Capsicum - 250g,4
2022-03-22,Naivasha Yellow Capsicum - 250g,7
2022-03-23,Naivasha Yellow Capsicum - 250g,2
2022-03-24,Naivasha Yellow Capsicum - 250g,3
2022-03-25,Naivasha Yellow Capsicum - 250g,7
2022-03-26,Naivasha Yellow Capsicum - 250g,1
2022-03-27,Naivasha Yellow Capsicum - 250g,1
2022-03-28,Naivasha Yellow Capsicum - 250g,4
2022-03-29,Naivasha Yellow Capsicum - 250g,1
2022-03-30,Naivasha Yellow Capsicum - 250g,3
2022-03-31,Naivasha Yellow Capsicum - 250g,2
2022-04-01,Naivasha Yellow Capsicum - 250g,2
2022-04-02,Naivasha Yellow Capsicum - 250g,1
2022-04-03,Naivasha Yellow Capsicum - 250g,1
2022-04-04,Naivasha Yellow Capsicum - 250g,1
2022-04-05,Naivasha Yellow Capsicum - 250g,5
2022-04-06,Naivasha Yellow Capsicum - 250g,1
2022-04-18,Naivasha Yellow Capsicum - 250g,3
2022-04-19,Naivasha Yellow Capsicum - 250g,6
