Date,Product Name,Quantity
2019-07-19,Aristea Sauvignon Blanc Semillon 2017,1
2019-07-27,Aristea Sauvignon Blanc Semillon 2017,1
2019-09-01,Aristea Sauvignon Blanc Semillon 2017,1
2019-09-09,Aristea Sauvignon Blanc Semillon 2017,1
2019-09-23,Aristea Sauvignon Blanc Semillon 2017,1
2019-12-13,Aristea Sauvignon Blanc Semillon 2017,1
2019-12-18,Aristea Sauvignon Blanc Semillon 2017,2
2019-12-20,Aristea Sauvignon Blanc Semillon 2017,1
2020-03-31,Aristea Sauvignon Blanc Semillon 2017,2
2020-04-09,Aristea Sauvignon Blanc Semillon 2017,1
2020-11-05,Aristea Sauvignon Blanc Semillon 2017,2
2020-11-11,Aristea Sauvignon Blanc Semillon 2017,1
2020-12-09,Aristea Sauvignon Blanc Semillon 2017,1
2020-12-16,Aristea Sauvignon Blanc Semillon 2017,1
2020-12-20,Aristea Sauvignon Blanc Semillon 2017,6
2021-01-21,Aristea Sauvignon Blanc Semillon 2017,1
2021-02-28,Aristea Sauvignon Blanc Semillon 2017,1
2021-03-02,Aristea Sauvignon Blanc Semillon 2017,1
2021-03-11,Aristea Sauvignon Blanc Semillon 2017,4
2021-03-19,Aristea Sauvignon Blanc Semillon 2017,1
2021-03-30,Aristea Sauvignon Blanc Semillon 2017,1
2021-03-31,Aristea Sauvignon Blanc Semillon 2017,2
2021-04-06,Aristea Sauvignon Blanc Semillon 2017,1
2021-04-09,Aristea Sauvignon Blanc Semillon 2017,1
2021-04-21,Aristea Sauvignon Blanc Semillon 2017,1
2021-04-30,Aristea Sauvignon Blanc Semillon 2017,1
2021-05-31,Aristea Sauvignon Blanc Semillon 2017,4
2022-01-13,Aristea Sauvignon Blanc Semillon 2017,2
2022-01-20,Aristea Sauvignon Blanc Semillon 2017,2
2022-02-03,Aristea Sauvignon Blanc Semillon 2017,2
2022-02-14,Aristea Sauvignon Blanc Semillon 2017,2
2022-04-05,Aristea Sauvignon Blanc Semillon 2017,1
2022-04-10,Aristea Sauvignon Blanc Semillon 2017,1
2022-04-19,Aristea Sauvignon Blanc Semillon 2017,1
2022-06-18,Aristea Sauvignon Blanc Semillon 2017,1
2022-06-24,Aristea Sauvignon Blanc Semillon 2017,1
2022-06-29,Aristea Sauvignon Blanc Semillon 2017,1
2022-08-29,Aristea Sauvignon Blanc Semillon 2017,1
2022-08-31,Aristea Sauvignon Blanc Semillon 2017,1
2022-09-04,Aristea Sauvignon Blanc Semillon 2017,1
2022-09-20,Aristea Sauvignon Blanc Semillon 2017,1
2022-11-19,Aristea Sauvignon Blanc Semillon 2017,2
2022-12-05,Aristea Sauvignon Blanc Semillon 2017,2
2022-12-19,Aristea Sauvignon Blanc Semillon 2017,1
2023-01-18,Aristea Sauvignon Blanc Semillon 2017,1
2023-01-20,Aristea Sauvignon Blanc Semillon 2017,1
2023-02-07,Aristea Sauvignon Blanc Semillon 2017,1
2023-02-23,Aristea Sauvignon Blanc Semillon 2017,1
2023-03-06,Aristea Sauvignon Blanc Semillon 2017,1
2023-03-08,Aristea Sauvignon Blanc Semillon 2017,1
2023-03-25,Aristea Sauvignon Blanc Semillon 2017,1
2023-04-12,Aristea Sauvignon Blanc Semillon 2017,1
