Date,Product Name,Quantity
2024-06-01,Aunty's Natural Flour - 2kg,2
2024-06-05,Aunty's Natural Flour - 2kg,1
2024-06-12,Aunty's Natural Flour - 2kg,1
2024-06-21,Aunty's Natural Flour - 2kg,1
2024-06-24,Aunty's Natural Flour - 2kg,2
2024-07-01,Aunty's Natural Flour - 2kg,1
2024-07-05,Aunty's Natural Flour - 2kg,1
2024-07-06,Aunty's Natural Flour - 2kg,1
2024-07-07,Aunty's Natural Flour - 2kg,2
2024-07-11,Aunty's Natural Flour - 2kg,1
2024-07-15,Aunty's Natural Flour - 2kg,1
2024-07-22,Aunty's Natural Flour - 2kg,1
2024-07-23,Aunty's Natural Flour - 2kg,2
2024-07-26,Aunty's Natural Flour - 2kg,2
2024-07-29,Aunty's Natural Flour - 2kg,2
2024-08-01,Aunty's Natural Flour - 2kg,2
2024-08-09,Aunty's Natural Flour - 2kg,1
