Date,Product Name,Quantity
2018-12-02,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),35
2018-12-03,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),14
2018-12-04,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),11
2018-12-05,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),26
2018-12-06,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),2
2018-12-07,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),12
2018-12-08,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),12
2018-12-09,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),4
2018-12-10,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),5
2018-12-12,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),8
2018-12-14,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),2
2018-12-15,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),8
2018-12-17,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),5
2018-12-18,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),44
2018-12-19,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),7
2018-12-20,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),15
2018-12-21,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),14
2018-12-22,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),8
2018-12-25,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),6
2018-12-27,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),10
2018-12-29,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),2
2019-01-02,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),3
2019-01-03,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),4
2019-01-05,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),12
2019-01-08,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),10
2019-01-10,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),14
2019-01-11,Bila Shaka Dire Straits Golden Pilsner - 330ml (returnable bottles),3
