Date,Product Name,Quantity
2024-07-05,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,4
2024-07-06,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,8
2024-07-07,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,8
2024-07-08,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,27
2024-07-09,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,9
2024-07-10,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,11
2024-07-11,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,20
2024-07-12,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,2
2024-07-13,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,2
2024-07-14,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,6
2024-07-15,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,19
2024-07-16,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,13
2024-07-17,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,6
2024-07-18,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,1
2024-07-19,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,10
2024-07-20,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,2
2024-07-21,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,6
2024-07-23,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,18
2024-07-24,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,2
2024-07-26,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,2
2024-07-27,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,7
2024-07-29,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,18
2024-07-30,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,4
2024-07-31,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,6
2024-08-02,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,10
2024-08-03,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,6
2024-08-04,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,2
2024-08-05,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,16
2024-08-06,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,6
2024-08-07,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,7
2024-08-08,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,3
2024-08-09,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,19
2024-08-12,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,26
2024-08-13,Mayers Natural Sparkling Spring Water - 750ml Glass Bottle,16
