Date,Product Name,Quantity
2022-08-11,Mayers Natural Still Spring Water - 500ml Glass Bottle,8
2022-08-21,Mayers Natural Still Spring Water - 500ml Glass Bottle,5
2022-08-22,Mayers Natural Still Spring Water - 500ml Glass Bottle,5
2022-09-05,Mayers Natural Still Spring Water - 500ml Glass Bottle,6
2022-09-06,Mayers Natural Still Spring Water - 500ml Glass Bottle,10
2022-09-30,Mayers Natural Still Spring Water - 500ml Glass Bottle,6
2022-10-03,Mayers Natural Still Spring Water - 500ml Glass Bottle,5
2022-10-14,Mayers Natural Still Spring Water - 500ml Glass Bottle,5
2022-10-24,Mayers Natural Still Spring Water - 500ml Glass Bottle,6
2022-11-03,Mayers Natural Still Spring Water - 500ml Glass Bottle,10
2022-11-10,Mayers Natural Still Spring Water - 500ml Glass Bottle,10
2022-11-14,Mayers Natural Still Spring Water - 500ml Glass Bottle,3
2022-12-01,Mayers Natural Still Spring Water - 500ml Glass Bottle,30
2022-12-02,Mayers Natural Still Spring Water - 500ml Glass Bottle,12
2022-12-05,Mayers Natural Still Spring Water - 500ml Glass Bottle,6
2022-12-08,Mayers Natural Still Spring Water - 500ml Glass Bottle,36
2022-12-11,Mayers Natural Still Spring Water - 500ml Glass Bottle,18
2022-12-12,Mayers Natural Still Spring Water - 500ml Glass Bottle,18
2022-12-17,Mayers Natural Still Spring Water - 500ml Glass Bottle,40
2022-12-19,Mayers Natural Still Spring Water - 500ml Glass Bottle,4
2022-12-26,Mayers Natural Still Spring Water - 500ml Glass Bottle,149
2023-01-04,Mayers Natural Still Spring Water - 500ml Glass Bottle,6
2023-01-05,Mayers Natural Still Spring Water - 500ml Glass Bottle,24
2023-01-09,Mayers Natural Still Spring Water - 500ml Glass Bottle,6
2023-01-16,Mayers Natural Still Spring Water - 500ml Glass Bottle,60
2023-01-26,Mayers Natural Still Spring Water - 500ml Glass Bottle,30
2023-01-31,Mayers Natural Still Spring Water - 500ml Glass Bottle,4
2023-02-06,Mayers Natural Still Spring Water - 500ml Glass Bottle,1
