Date,Product Name,Quantity
2023-03-29,Bila Shaka Tezeta Craft Beer- 330ml,4
2023-03-30,Bila Shaka Tezeta Craft Beer- 330ml,3
2023-03-31,Bila Shaka Tezeta Craft Beer- 330ml,8
2023-04-01,Bila Shaka Tezeta Craft Beer- 330ml,9
2023-04-05,Bila Shaka Tezeta Craft Beer- 330ml,2
2023-04-06,Bila Shaka Tezeta Craft Beer- 330ml,2
2023-04-07,Bila Shaka Tezeta Craft Beer- 330ml,4
2023-04-08,Bila Shaka Tezeta Craft Beer- 330ml,6
2023-04-09,Bila Shaka Tezeta Craft Beer- 330ml,3
2023-04-10,Bila Shaka Tezeta Craft Beer- 330ml,3
2023-04-11,Bila Shaka Tezeta Craft Beer- 330ml,6
2023-04-12,Bila Shaka Tezeta Craft Beer- 330ml,2
2023-04-13,Bila Shaka Tezeta Craft Beer- 330ml,3
2023-04-15,Bila Shaka Tezeta Craft Beer- 330ml,1
2023-04-17,Bila Shaka Tezeta Craft Beer- 330ml,2
2023-04-19,Bila Shaka Tezeta Craft Beer- 330ml,6
2023-04-20,Bila Shaka Tezeta Craft Beer- 330ml,5
2023-04-21,Bila Shaka Tezeta Craft Beer- 330ml,1
2023-04-23,Bila Shaka Tezeta Craft Beer- 330ml,2
2023-04-24,Bila Shaka Tezeta Craft Beer- 330ml,12
2023-04-25,Bila Shaka Tezeta Craft Beer- 330ml,2
2023-04-26,Bila Shaka Tezeta Craft Beer- 330ml,3
2023-04-27,Bila Shaka Tezeta Craft Beer- 330ml,2
2023-04-28,Bila Shaka Tezeta Craft Beer- 330ml,5
2023-05-02,Bila Shaka Tezeta Craft Beer- 330ml,2
2023-05-04,Bila Shaka Tezeta Craft Beer- 330ml,15
2023-05-06,Bila Shaka Tezeta Craft Beer- 330ml,1
2023-05-09,Bila Shaka Tezeta Craft Beer- 330ml,4
2023-05-10,Bila Shaka Tezeta Craft Beer- 330ml,1
2023-05-16,Bila Shaka Tezeta Craft Beer- 330ml,2
2023-05-21,Bila Shaka Tezeta Craft Beer- 330ml,2
