Date,Product Name,Quantity
2020-06-29,B's Water Kefir - Pineapple and Mint (330ml),1
2020-07-02,B's Water Kefir - Pineapple and Mint (330ml),1
2020-07-04,B's Water Kefir - Pineapple and Mint (330ml),10
2020-07-17,B's Water Kefir - Pineapple and Mint (330ml),1
2020-07-21,B's Water Kefir - Pineapple and Mint (330ml),4
2020-07-22,B's Water Kefir - Pineapple and Mint (330ml),1
2020-07-23,B's Water Kefir - Pineapple and Mint (330ml),2
2020-07-24,B's Water Kefir - Pineapple and Mint (330ml),3
2020-07-27,B's Water Kefir - Pineapple and Mint (330ml),2
2020-08-03,B's Water Kefir - Pineapple and Mint (330ml),2
2020-08-04,B's Water Kefir - Pineapple and Mint (330ml),1
2020-08-10,B's Water Kefir - Pineapple and Mint (330ml),3
2020-08-12,B's Water Kefir - Pineapple and Mint (330ml),2
2020-08-13,B's Water Kefir - Pineapple and Mint (330ml),1
2020-08-15,B's Water Kefir - Pineapple and Mint (330ml),1
2020-08-20,B's Water Kefir - Pineapple and Mint (330ml),2
2020-08-21,B's Water Kefir - Pineapple and Mint (330ml),1
2020-08-27,B's Water Kefir - Pineapple and Mint (330ml),1
2020-09-03,B's Water Kefir - Pineapple and Mint (330ml),2
2020-09-04,B's Water Kefir - Pineapple and Mint (330ml),2
2020-09-11,B's Water Kefir - Pineapple and Mint (330ml),7
2020-09-16,B's Water Kefir - Pineapple and Mint (330ml),6
2020-09-22,B's Water Kefir - Pineapple and Mint (330ml),1
2020-09-26,B's Water Kefir - Pineapple and Mint (330ml),4
2020-10-03,B's Water Kefir - Pineapple and Mint (330ml),4
2020-10-08,B's Water Kefir - Pineapple and Mint (330ml),1
2020-10-09,B's Water Kefir - Pineapple and Mint (330ml),3
2020-10-12,B's Water Kefir - Pineapple and Mint (330ml),4
2020-10-13,B's Water Kefir - Pineapple and Mint (330ml),1
2020-10-14,B's Water Kefir - Pineapple and Mint (330ml),3
2020-10-19,B's Water Kefir - Pineapple and Mint (330ml),6
2020-10-22,B's Water Kefir - Pineapple and Mint (330ml),3
2020-10-23,B's Water Kefir - Pineapple and Mint (330ml),1
2020-11-04,B's Water Kefir - Pineapple and Mint (330ml),4
2020-11-05,B's Water Kefir - Pineapple and Mint (330ml),2
2020-11-11,B's Water Kefir - Pineapple and Mint (330ml),2
