Date,Product Name,Quantity
2018-12-03,Bbrood Almond Croissant,4
2018-12-05,Bbrood Almond Croissant,2
2018-12-11,Bbrood Almond Croissant,3
2018-12-17,Bbrood Almond Croissant,2
2018-12-19,Bbrood Almond Croissant,8
2018-12-20,Bbrood Almond Croissant,1
2019-01-22,Bbrood Almond Croissant,5
2019-02-05,Bbrood Almond Croissant,2
2019-02-14,Bbrood Almond Croissant,1
2019-02-19,Bbrood Almond Croissant,5
2019-02-20,Bbrood Almond Croissant,14
2019-02-25,Bbrood Almond Croissant,4
2019-03-09,Bbrood Almond Croissant,2
2019-03-12,Bbrood Almond Croissant,1
2019-03-17,Bbrood Almond Croissant,2
2019-03-21,Bbrood Almond Croissant,2
2019-03-22,Bbrood Almond Croissant,4
2019-03-26,Bbrood Almond Croissant,2
2019-04-01,Bbrood Almond Croissant,2
2019-04-08,Bbrood Almond Croissant,2
2019-05-09,Bbrood Almond Croissant,2
2019-05-13,Bbrood Almond Croissant,1
2019-05-17,Bbrood Almond Croissant,2
2019-05-22,Bbrood Almond Croissant,2
2019-05-29,Bbrood Almond Croissant,1
2019-06-03,Bbrood Almond Croissant,4
2019-06-13,Bbrood Almond Croissant,3
2019-06-20,Bbrood Almond Croissant,1
2019-06-24,Bbrood Almond Croissant,2
2019-06-26,Bbrood Almond Croissant,4
2019-07-08,Bbrood Almond Croissant,2
2019-07-12,Bbrood Almond Croissant,2
2019-07-18,Bbrood Almond Croissant,4
2019-07-19,Bbrood Almond Croissant,1
2019-07-25,Bbrood Almond Croissant,1
2019-07-28,Bbrood Almond Croissant,6
2019-07-29,Bbrood Almond Croissant,1
2019-08-06,Bbrood Almond Croissant,2
2019-08-12,Bbrood Almond Croissant,1
2019-08-15,Bbrood Almond Croissant,3
2019-08-16,Bbrood Almond Croissant,2
2019-08-19,Bbrood Almond Croissant,1
2019-08-27,Bbrood Almond Croissant,1
2019-08-31,Bbrood Almond Croissant,2
2019-09-02,Bbrood Almond Croissant,2
2019-09-05,Bbrood Almond Croissant,1
2019-09-06,Bbrood Almond Croissant,11
2019-09-08,Bbrood Almond Croissant,1
2019-09-12,Bbrood Almond Croissant,2
2019-09-19,Bbrood Almond Croissant,1
2019-09-21,Bbrood Almond Croissant,1
2019-09-23,Bbrood Almond Croissant,1
2019-09-29,Bbrood Almond Croissant,2
2019-10-15,Bbrood Almond Croissant,5
2019-10-24,Bbrood Almond Croissant,4
2019-10-29,Bbrood Almond Croissant,1
2019-11-04,Bbrood Almond Croissant,1
2019-11-06,Bbrood Almond Croissant,1
2019-11-10,Bbrood Almond Croissant,2
2019-11-12,Bbrood Almond Croissant,1
2019-11-14,Bbrood Almond Croissant,1
2019-11-28,Bbrood Almond Croissant,2
2019-12-01,Bbrood Almond Croissant,2
2019-12-05,Bbrood Almond Croissant,4
2019-12-17,Bbrood Almond Croissant,4
2019-12-19,Bbrood Almond Croissant,3
2019-12-20,Bbrood Almond Croissant,2
2019-12-30,Bbrood Almond Croissant,2
2019-12-31,Bbrood Almond Croissant,1
2020-01-09,Bbrood Almond Croissant,3
2020-01-15,Bbrood Almond Croissant,2
2020-01-23,Bbrood Almond Croissant,1
2020-02-06,Bbrood Almond Croissant,2
2020-02-17,Bbrood Almond Croissant,2
2020-02-24,Bbrood Almond Croissant,2
2020-02-26,Bbrood Almond Croissant,2
2020-03-04,Bbrood Almond Croissant,1
2020-03-14,Bbrood Almond Croissant,2
2020-03-16,Bbrood Almond Croissant,3
2020-03-17,Bbrood Almond Croissant,6
2020-03-19,Bbrood Almond Croissant,5
2020-03-20,Bbrood Almond Croissant,2
2020-03-23,Bbrood Almond Croissant,16
2020-03-25,Bbrood Almond Croissant,7
2020-03-26,Bbrood Almond Croissant,1
2020-03-27,Bbrood Almond Croissant,2
2020-03-29,Bbrood Almond Croissant,2
2020-03-30,Bbrood Almond Croissant,3
2020-03-31,Bbrood Almond Croissant,7
2020-04-01,Bbrood Almond Croissant,1
2020-04-02,Bbrood Almond Croissant,1
2020-04-03,Bbrood Almond Croissant,11
2020-04-06,Bbrood Almond Croissant,6
2020-04-09,Bbrood Almond Croissant,8
2020-04-14,Bbrood Almond Croissant,6
2020-04-15,Bbrood Almond Croissant,4
2020-04-16,Bbrood Almond Croissant,8
2020-04-17,Bbrood Almond Croissant,4
2020-04-18,Bbrood Almond Croissant,9
2020-04-20,Bbrood Almond Croissant,4
2020-04-21,Bbrood Almond Croissant,9
2020-04-22,Bbrood Almond Croissant,3
2020-04-23,Bbrood Almond Croissant,7
2020-04-24,Bbrood Almond Croissant,1
2020-04-25,Bbrood Almond Croissant,2
2020-04-26,Bbrood Almond Croissant,4
2020-04-28,Bbrood Almond Croissant,11
2020-04-30,Bbrood Almond Croissant,5
2020-05-02,Bbrood Almond Croissant,6
2020-05-03,Bbrood Almond Croissant,2
2020-05-04,Bbrood Almond Croissant,8
2020-05-05,Bbrood Almond Croissant,7
2020-05-07,Bbrood Almond Croissant,2
2020-05-08,Bbrood Almond Croissant,7
2020-05-11,Bbrood Almond Croissant,7
2020-05-12,Bbrood Almond Croissant,5
2020-05-13,Bbrood Almond Croissant,2
2020-05-15,Bbrood Almond Croissant,2
2020-05-16,Bbrood Almond Croissant,4
2020-05-18,Bbrood Almond Croissant,2
2020-05-19,Bbrood Almond Croissant,4
2020-05-20,Bbrood Almond Croissant,2
2020-05-22,Bbrood Almond Croissant,3
2020-05-23,Bbrood Almond Croissant,12
2020-05-25,Bbrood Almond Croissant,3
2020-05-26,Bbrood Almond Croissant,3
2020-05-28,Bbrood Almond Croissant,3
2020-05-29,Bbrood Almond Croissant,2
2020-05-31,Bbrood Almond Croissant,2
2020-06-02,Bbrood Almond Croissant,7
2020-06-03,Bbrood Almond Croissant,8
2020-06-04,Bbrood Almond Croissant,10
2020-06-06,Bbrood Almond Croissant,2
2020-06-08,Bbrood Almond Croissant,1
2020-06-09,Bbrood Almond Croissant,3
2020-06-10,Bbrood Almond Croissant,7
2020-06-17,Bbrood Almond Croissant,2
2020-06-18,Bbrood Almond Croissant,2
2020-06-19,Bbrood Almond Croissant,7
2020-06-23,Bbrood Almond Croissant,9
2020-06-25,Bbrood Almond Croissant,2
2020-06-26,Bbrood Almond Croissant,3
2020-06-29,Bbrood Almond Croissant,8
2020-06-30,Bbrood Almond Croissant,5
2020-07-01,Bbrood Almond Croissant,3
2020-07-02,Bbrood Almond Croissant,5
2020-07-03,Bbrood Almond Croissant,1
2020-07-09,Bbrood Almond Croissant,7
2020-07-10,Bbrood Almond Croissant,6
2020-07-17,Bbrood Almond Croissant,5
2020-07-21,Bbrood Almond Croissant,8
2020-07-24,Bbrood Almond Croissant,3
2020-07-28,Bbrood Almond Croissant,1
2020-08-06,Bbrood Almond Croissant,5
2020-08-07,Bbrood Almond Croissant,3
2020-08-11,Bbrood Almond Croissant,1
2020-08-13,Bbrood Almond Croissant,2
2020-08-14,Bbrood Almond Croissant,1
2020-08-17,Bbrood Almond Croissant,1
2020-08-18,Bbrood Almond Croissant,1
2020-08-20,Bbrood Almond Croissant,1
2020-08-21,Bbrood Almond Croissant,2
2020-08-25,Bbrood Almond Croissant,3
2020-08-26,Bbrood Almond Croissant,1
2020-08-27,Bbrood Almond Croissant,2
2020-08-31,Bbrood Almond Croissant,1
2020-09-01,Bbrood Almond Croissant,4
2020-09-03,Bbrood Almond Croissant,2
2020-09-04,Bbrood Almond Croissant,3
2020-09-07,Bbrood Almond Croissant,2
2020-09-09,Bbrood Almond Croissant,3
2020-09-11,Bbrood Almond Croissant,3
2020-09-16,Bbrood Almond Croissant,5
2020-09-17,Bbrood Almond Croissant,2
2020-09-21,Bbrood Almond Croissant,3
2020-09-24,Bbrood Almond Croissant,2
2020-09-28,Bbrood Almond Croissant,6
2020-10-07,Bbrood Almond Croissant,1
2020-10-08,Bbrood Almond Croissant,1
2020-10-09,Bbrood Almond Croissant,3
2020-10-13,Bbrood Almond Croissant,2
2020-10-15,Bbrood Almond Croissant,3
2020-10-16,Bbrood Almond Croissant,2
2020-10-22,Bbrood Almond Croissant,4
2020-10-23,Bbrood Almond Croissant,6
2020-10-26,Bbrood Almond Croissant,2
2020-10-27,Bbrood Almond Croissant,2
2020-10-28,Bbrood Almond Croissant,1
2020-10-30,Bbrood Almond Croissant,2
2020-11-04,Bbrood Almond Croissant,4
2020-11-05,Bbrood Almond Croissant,2
2020-11-11,Bbrood Almond Croissant,5
2020-11-12,Bbrood Almond Croissant,3
2020-11-16,Bbrood Almond Croissant,2
2020-11-20,Bbrood Almond Croissant,4
2020-11-23,Bbrood Almond Croissant,4
2020-11-24,Bbrood Almond Croissant,2
2020-11-26,Bbrood Almond Croissant,2
2020-12-09,Bbrood Almond Croissant,17
2020-12-14,Bbrood Almond Croissant,2
2020-12-20,Bbrood Almond Croissant,5
2020-12-28,Bbrood Almond Croissant,9
2021-01-03,Bbrood Almond Croissant,4
2021-01-06,Bbrood Almond Croissant,4
2021-01-08,Bbrood Almond Croissant,1
2021-01-14,Bbrood Almond Croissant,7
2021-01-15,Bbrood Almond Croissant,8
2021-01-21,Bbrood Almond Croissant,8
2021-01-28,Bbrood Almond Croissant,9
2021-01-29,Bbrood Almond Croissant,1
2021-02-03,Bbrood Almond Croissant,10
2021-02-05,Bbrood Almond Croissant,2
2021-02-06,Bbrood Almond Croissant,5
2021-02-09,Bbrood Almond Croissant,1
2021-02-12,Bbrood Almond Croissant,5
2021-02-15,Bbrood Almond Croissant,1
2021-02-16,Bbrood Almond Croissant,6
2021-02-18,Bbrood Almond Croissant,1
2021-02-22,Bbrood Almond Croissant,4
2021-02-23,Bbrood Almond Croissant,3
2021-02-26,Bbrood Almond Croissant,3
2021-02-28,Bbrood Almond Croissant,1
2021-03-01,Bbrood Almond Croissant,1
2021-03-04,Bbrood Almond Croissant,5
2021-03-05,Bbrood Almond Croissant,1
2021-03-08,Bbrood Almond Croissant,2
2021-03-09,Bbrood Almond Croissant,1
2021-03-11,Bbrood Almond Croissant,10
2021-03-12,Bbrood Almond Croissant,8
2021-03-16,Bbrood Almond Croissant,2
2021-03-18,Bbrood Almond Croissant,5
2021-03-19,Bbrood Almond Croissant,2
2021-03-26,Bbrood Almond Croissant,6
2021-03-27,Bbrood Almond Croissant,2
2021-03-29,Bbrood Almond Croissant,1
2021-03-31,Bbrood Almond Croissant,2
2021-04-01,Bbrood Almond Croissant,1
2021-04-05,Bbrood Almond Croissant,7
2021-04-07,Bbrood Almond Croissant,1
2021-04-09,Bbrood Almond Croissant,8
2021-04-12,Bbrood Almond Croissant,6
2021-04-14,Bbrood Almond Croissant,3
2021-04-19,Bbrood Almond Croissant,1
2021-04-23,Bbrood Almond Croissant,2
2021-04-24,Bbrood Almond Croissant,4
2021-04-30,Bbrood Almond Croissant,4
2021-05-03,Bbrood Almond Croissant,3
2021-05-05,Bbrood Almond Croissant,4
2021-05-08,Bbrood Almond Croissant,5
2021-05-13,Bbrood Almond Croissant,3
2021-05-20,Bbrood Almond Croissant,2
2021-05-21,Bbrood Almond Croissant,2
2021-05-24,Bbrood Almond Croissant,5
2021-05-27,Bbrood Almond Croissant,4
2021-05-28,Bbrood Almond Croissant,10
2021-05-31,Bbrood Almond Croissant,5
2021-06-04,Bbrood Almond Croissant,3
2021-06-12,Bbrood Almond Croissant,6
2021-06-16,Bbrood Almond Croissant,2
2021-06-24,Bbrood Almond Croissant,12
2021-06-25,Bbrood Almond Croissant,2
2021-07-04,Bbrood Almond Croissant,2
2021-07-07,Bbrood Almond Croissant,1
2021-07-11,Bbrood Almond Croissant,1
2021-07-14,Bbrood Almond Croissant,5
2021-07-22,Bbrood Almond Croissant,3
2021-08-02,Bbrood Almond Croissant,2
2021-08-06,Bbrood Almond Croissant,6
2021-08-12,Bbrood Almond Croissant,1
2021-08-20,Bbrood Almond Croissant,3
2021-08-24,Bbrood Almond Croissant,8
2021-09-03,Bbrood Almond Croissant,2
2021-09-07,Bbrood Almond Croissant,2
2021-09-09,Bbrood Almond Croissant,3
2021-09-10,Bbrood Almond Croissant,2
2021-09-17,Bbrood Almond Croissant,2
2021-09-24,Bbrood Almond Croissant,2
2021-09-25,Bbrood Almond Croissant,4
2021-09-29,Bbrood Almond Croissant,4
2021-10-03,Bbrood Almond Croissant,1
2021-10-14,Bbrood Almond Croissant,1
2021-10-21,Bbrood Almond Croissant,1
2021-10-31,Bbrood Almond Croissant,3
2021-11-03,Bbrood Almond Croissant,2
2021-11-08,Bbrood Almond Croissant,2
2021-11-11,Bbrood Almond Croissant,4
2021-11-12,Bbrood Almond Croissant,4
2021-11-16,Bbrood Almond Croissant,6
2021-11-19,Bbrood Almond Croissant,2
2021-11-25,Bbrood Almond Croissant,3
2021-11-29,Bbrood Almond Croissant,6
2021-11-30,Bbrood Almond Croissant,2
2021-12-06,Bbrood Almond Croissant,4
2021-12-14,Bbrood Almond Croissant,4
2021-12-16,Bbrood Almond Croissant,5
2021-12-17,Bbrood Almond Croissant,6
2021-12-23,Bbrood Almond Croissant,5
2021-12-24,Bbrood Almond Croissant,1
2021-12-29,Bbrood Almond Croissant,4
2021-12-31,Bbrood Almond Croissant,1
2022-01-01,Bbrood Almond Croissant,2
2022-01-03,Bbrood Almond Croissant,5
2022-01-05,Bbrood Almond Croissant,2
2022-01-06,Bbrood Almond Croissant,8
2022-01-08,Bbrood Almond Croissant,4
2022-01-20,Bbrood Almond Croissant,12
2022-01-27,Bbrood Almond Croissant,4
2022-01-28,Bbrood Almond Croissant,2
2022-01-29,Bbrood Almond Croissant,2
2022-01-30,Bbrood Almond Croissant,2
2022-01-31,Bbrood Almond Croissant,12
2022-02-01,Bbrood Almond Croissant,4
2022-02-04,Bbrood Almond Croissant,8
2022-02-05,Bbrood Almond Croissant,4
2022-02-09,Bbrood Almond Croissant,12
2022-02-10,Bbrood Almond Croissant,14
2022-02-11,Bbrood Almond Croissant,4
2022-02-12,Bbrood Almond Croissant,4
2022-02-17,Bbrood Almond Croissant,4
2022-02-18,Bbrood Almond Croissant,4
