Date,Product Name,Quantity
2022-08-25,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2022-08-31,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2022-09-01,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2022-09-08,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2022-09-11,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2022-09-16,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2022-09-19,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2022-09-20,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2022-09-26,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2022-10-21,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",3
2022-10-26,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2022-10-27,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",3
2022-11-02,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2022-11-04,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2022-11-08,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2022-11-11,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2022-11-30,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2022-12-14,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2022-12-15,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",6
2022-12-16,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",3
2022-12-17,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2022-12-20,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2022-12-21,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",4
2023-01-18,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2023-02-09,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-02-10,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",3
2023-02-11,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-02-13,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-02-21,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",4
2023-03-01,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2023-03-07,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",5
2023-03-15,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",4
2023-03-16,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",4
2023-03-26,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-04-06,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-04-12,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-04-19,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-04-21,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2023-04-25,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-05-03,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-05-06,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-05-17,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",4
2023-05-29,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-05-31,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-06-01,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-06-20,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2023-07-03,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-07-10,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-08-01,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-08-08,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",4
2023-08-17,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-09-09,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-09-29,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2023-10-23,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",3
2023-11-02,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2023-11-03,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2023-11-17,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2023-11-18,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-11-20,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-11-22,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-11-23,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",4
2023-11-27,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-12-07,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-12-08,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-12-11,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-12-12,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",4
2023-12-14,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2023-12-22,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-12-23,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2023-12-24,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2024-01-05,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2024-01-07,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2024-01-11,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",4
2024-02-01,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",4
2024-02-20,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2024-02-23,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2024-03-05,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2024-03-07,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2024-03-11,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2024-04-22,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2024-05-09,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",5
2024-05-13,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",3
2024-05-16,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2024-05-21,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2024-05-27,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2024-06-01,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2024-06-06,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2024-06-07,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2024-06-11,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2024-06-19,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",3
2024-06-20,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",4
2024-06-29,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2024-07-14,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",2
2024-07-25,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
2024-08-13,"BBBROOD Baguette White - 300g (Order by 10am, next day delivery only)",1
