Date,Product Name,Quantity
2022-04-11,"Bbrood Chicken Pie (Order by 4pm, next day delivery only)",2
2022-04-12,"Bbrood Chicken Pie (Order by 4pm, next day delivery only)",4
2022-04-13,"Bbrood Chicken Pie (Order by 4pm, next day delivery only)",2
2022-04-18,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",1
2022-04-29,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",2
2022-05-13,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",2
2022-05-17,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",1
2022-05-27,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",4
2022-06-11,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",1
2022-06-21,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",2
2022-06-26,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",4
2022-06-30,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",4
2022-07-28,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",6
2022-08-01,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",2
2022-08-20,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",1
2022-08-23,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",6
2022-08-24,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",1
2022-08-27,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",2
2022-09-03,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",1
2022-09-05,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",6
2022-09-13,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",2
2022-09-14,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",4
2022-09-17,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",2
2022-09-20,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",1
2022-09-22,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",1
2022-09-28,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",3
2022-09-29,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",5
2022-09-30,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",1
2022-10-03,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",2
2022-10-11,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",2
2022-10-19,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",2
2022-10-28,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",4
2022-11-21,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",1
2022-11-30,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",2
2022-12-05,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",6
2022-12-08,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",9
2022-12-10,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",1
2022-12-15,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",1
2022-12-18,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",2
2022-12-22,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",1
2022-12-24,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",4
2023-01-03,"BBROOD Chicken Pie (Order by 4pm, next day delivery only)",3
