Date,Product Name,Quantity
2023-08-05,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2023-08-09,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2023-08-21,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2023-09-07,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",3
2023-09-18,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",6
2023-10-02,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2023-10-03,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2023-10-10,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2023-10-14,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2023-10-15,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2023-10-23,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2023-11-03,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2023-11-07,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",3
2023-11-09,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2023-11-15,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2023-11-16,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",4
2023-11-20,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2023-11-28,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2023-11-29,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2023-12-21,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2023-12-24,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",4
2024-01-02,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2024-01-10,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",3
2024-01-12,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2024-01-15,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2024-01-20,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",4
2024-01-22,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2024-02-01,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2024-02-19,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2024-02-20,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",3
2024-02-27,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2024-03-01,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2024-03-26,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2024-03-30,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2024-04-03,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2024-04-04,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2024-04-09,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2024-05-06,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2024-05-08,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2024-05-10,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2024-05-11,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2024-05-14,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2024-05-16,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2024-05-21,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2024-05-27,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",3
2024-05-29,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2024-06-07,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2024-06-12,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2024-06-18,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2024-06-19,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",2
2024-06-29,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",1
2024-08-09,"BBROOD Cinnamon Roll - 90g (Order by 4pm, next day delivery only)",3
