Date,Product Name,Quantity
2018-12-09,Bbrood Corn Sourdough - 600g,2
2018-12-13,Bbrood Corn Sourdough - 600g,2
2018-12-20,Bbrood Corn Sourdough - 600g,3
2018-12-29,Bbrood Corn Sourdough - 600g,1
2019-01-01,Bbrood Corn Sourdough - 600g,2
2019-01-02,Bbrood Corn Sourdough - 600g,1
2019-01-07,Bbrood Corn Sourdough - 600g,1
2019-01-15,Bbrood Corn Sourdough - 600g,1
2019-01-21,Bbrood Corn Sourdough - 600g,2
2019-01-22,Bbrood Corn Sourdough - 600g,3
2019-02-04,Bbrood Corn Sourdough - 600g,1
2019-02-05,Bbrood Corn Sourdough - 600g,2
2019-02-06,Bbrood Corn Sourdough - 600g,1
2019-02-07,Bbrood Corn Sourdough - 600g,1
2019-02-12,Bbrood Corn Sourdough - 600g,1
2019-02-13,Bbrood Corn Sourdough - 600g,2
2019-02-19,Bbrood Corn Sourdough - 600g,2
2019-02-24,Bbrood Corn Sourdough - 600g,1
2019-02-26,Bbrood Corn Sourdough - 600g,1
2019-03-04,Bbrood Corn Sourdough - 600g,3
2019-03-05,Bbrood Corn Sourdough - 600g,1
2019-03-08,Bbrood Corn Sourdough - 600g,1
2019-03-14,Bbrood Corn Sourdough - 600g,1
2019-03-25,Bbrood Corn Sourdough - 600g,4
2019-03-26,Bbrood Corn Sourdough - 600g,1
2019-04-08,Bbrood Corn Sourdough - 600g,3
2019-04-09,Bbrood Corn Sourdough - 600g,1
2019-04-11,Bbrood Corn Sourdough - 600g,6
2019-04-13,Bbrood Corn Sourdough - 600g,1
2019-04-16,Bbrood Corn Sourdough - 600g,1
2019-05-02,Bbrood Corn Sourdough - 600g,1
2019-05-06,Bbrood Corn Sourdough - 600g,3
2019-05-14,Bbrood Corn Sourdough - 600g,2
2019-05-16,Bbrood Corn Sourdough - 600g,2
2019-05-22,Bbrood Corn Sourdough - 600g,1
2019-05-31,Bbrood Corn Sourdough - 600g,1
2019-06-03,Bbrood Corn Sourdough - 600g,3
2019-06-10,Bbrood Corn Sourdough - 600g,1
2019-06-17,Bbrood Corn Sourdough - 600g,1
2019-06-21,Bbrood Corn Sourdough - 600g,2
2019-06-23,Bbrood Corn Sourdough - 600g,1
2019-07-02,Bbrood Corn Sourdough - 600g,2
2019-07-06,Bbrood Corn Sourdough - 600g,1
2019-07-30,Bbrood Corn Sourdough - 600g,3
2019-07-31,Bbrood Corn Sourdough - 600g,1
2019-08-06,Bbrood Corn Sourdough - 600g,2
2019-08-07,Bbrood Corn Sourdough - 600g,1
2019-08-11,Bbrood Corn Sourdough - 600g,3
2019-08-13,Bbrood Corn Sourdough - 600g,3
2019-08-20,Bbrood Corn Sourdough - 600g,1
2019-08-26,Bbrood Corn Sourdough - 600g,1
2019-08-27,Bbrood Corn Sourdough - 600g,1
2019-09-11,Bbrood Corn Sourdough - 600g,4
2019-09-18,Bbrood Corn Sourdough - 600g,2
2019-09-19,Bbrood Corn Sourdough - 600g,1
2019-09-30,Bbrood Corn Sourdough - 600g,2
2019-10-04,Bbrood Corn Sourdough - 600g,1
2019-10-10,Bbrood Corn Sourdough - 600g,2
2019-10-22,Bbrood Corn Sourdough - 600g,1
2019-10-23,Bbrood Corn Sourdough - 600g,2
2019-10-25,Bbrood Corn Sourdough - 600g,3
2019-11-06,Bbrood Corn Sourdough - 600g,2
2019-11-20,Bbrood Corn Sourdough - 600g,1
2019-12-09,Bbrood Corn Sourdough - 600g,1
2019-12-16,Bbrood Corn Sourdough - 600g,2
2019-12-20,Bbrood Corn Sourdough - 600g,5
2020-01-03,Bbrood Corn Sourdough - 600g - Sliced,2
2020-01-08,Bbrood Corn Sourdough - 600g - Sliced,1
2020-01-14,Bbrood Corn Sourdough - 600g - Sliced,2
2020-01-21,Bbrood Corn Sourdough - 600g - Sliced,1
2020-02-03,Bbrood Corn Sourdough - 600g - Sliced,1
2020-02-04,Bbrood Corn Sourdough - 600g - Sliced,1
2020-02-07,Bbrood Corn Sourdough - 600g - Sliced,2
2020-02-18,Bbrood Corn Sourdough - 600g - Sliced,1
2020-02-24,Bbrood Corn Sourdough - 600g - Sliced,1
2020-03-05,Bbrood Corn Sourdough - 600g - Sliced,3
2020-03-06,Bbrood Corn Sourdough - 600g - Sliced,1
2020-03-07,Bbrood Corn Sourdough - 600g - Sliced,2
