Date,Product Name,Quantity
2018-12-11,Bbrood Stollen - 500g (Order by 5 pm),1
2018-12-13,Bbrood Stollen - 500g (Order by 5 pm),3
2018-12-14,Bbrood Stollen - 500g (Order by 5 pm),1
2018-12-15,Bbrood Stollen - 500g (Order by 5 pm),2
2018-12-17,Bbrood Stollen - 500g (Order by 5 pm),2
2018-12-18,Bbrood Stollen - 500g (Order by 5 pm),1
2018-12-19,Bbrood Stollen - 500g (Order by 5 pm),6
2018-12-20,Bbrood Stollen - 500g (Order by 5 pm),2
2018-12-22,Bbrood Stollen - 500g (Order by 5 pm),1
2018-12-27,Bbrood Stollen - 500g (Order by 5 pm),1
2019-11-27,Bbrood Stollen - 500g (Order by 5 pm),1
2019-12-01,Bbrood Stollen - 500g (Order by 5 pm),1
2019-12-02,Bbrood Stollen - 500g (Order by 5 pm),2
2019-12-04,Bbrood Stollen - 500g (Order by 5 pm),2
2019-12-05,Bbrood Stollen - 500g (Order by 5 pm),3
2019-12-07,Bbrood Stollen - 500g (Order by 5 pm),2
2019-12-09,Bbrood Stollen - 500g (Order by 5 pm),4
2019-12-10,Bbrood Stollen - 500g (Order by 5 pm),2
2019-12-11,Bbrood Stollen - 500g (Order by 5 pm),8
2019-12-12,Bbrood Stollen - 500g (Order by 5 pm),6
2019-12-14,Bbrood Stollen - 500g (Order by 5 pm),4
2019-12-15,Bbrood Stollen - 500g (Order by 5 pm),1
2019-12-16,Bbrood Stollen - 500g (Order by 5 pm),8
2019-12-17,Bbrood Stollen - 500g (Order by 5 pm),2
2019-12-18,Bbrood Stollen - 500g (Order by 5 pm),1
2019-12-19,Bbrood Stollen - 500g (Order by 5 pm),6
2019-12-20,Bbrood Stollen - 500g (Order by 5 pm),3
2019-12-23,Bbrood Stollen - 500g (Order by 5 pm),3
2020-11-04,Bbrood Stollen (500g),1
2020-11-05,Bbrood Stollen (500g),3
2020-11-06,Bbrood Stollen (500g),1
2020-11-11,Bbrood Stollen (500g),3
2020-11-16,Bbrood Stollen (500g),2
2020-11-20,Bbrood Stollen (500g),5
2020-11-24,Bbrood Stollen (500g),2
2020-11-26,Bbrood Stollen (500g),2
2020-12-01,Bbrood Stollen (500g),3
2020-12-09,Bbrood Stollen (500g),3
2020-12-14,Bbrood Stollen (500g),7
2020-12-16,Bbrood Stollen (500g),4
2020-12-20,Bbrood Stollen (500g),7
2020-12-28,Bbrood Stollen (500g),13
2020-12-29,Bbrood Stollen (500g),1
2021-01-03,Bbrood Stollen (500g),2
2021-01-06,Bbrood Stollen (500g),1
2021-01-14,Bbrood Stollen (500g),5
2021-01-15,Bbrood Stollen (500g),1
2021-01-21,Bbrood Stollen (500g),1
2021-11-11,Bbrood Stollen (500g),1
2021-11-23,Bbrood Stollen - 500g (Order by 5 pm),1
2021-11-25,Bbrood Stollen - 500g (Order by 5 pm),3
2021-11-26,Bbrood Stollen - 500g (Order by 5 pm),1
2021-11-28,Bbrood Stollen - 500g (Order by 5 pm),1
2021-11-29,Bbrood Stollen - 500g (Order by 5 pm),1
2021-11-30,Bbrood Stollen - 500g (Order by 5 pm),1
2021-12-01,Bbrood Stollen - 500g (Order by 5 pm),1
2021-12-02,Bbrood Stollen - 500g (Order by 5 pm),1
2021-12-03,Bbrood Stollen - 500g (Order by 5 pm),1
2021-12-04,Bbrood Stollen - 500g (Order by 5 pm),1
2021-12-05,Bbrood Stollen - 500g (Order by 5 pm),2
2021-12-08,Bbrood Stollen - 500g (Order by 5 pm),1
2021-12-10,Bbrood Stollen - 500g (Order by 5 pm),1
2021-12-11,Bbrood Stollen - 500g (Order by 5 pm),1
2021-12-14,Bbrood Stollen - 500g (Order by 5 pm),1
2021-12-15,Bbrood Stollen - 500g (Order by 5 pm),2
2021-12-16,Bbrood Stollen - 500g (Order by 5 pm),1
2021-12-17,Bbrood Stollen - 500g (Order by 5 pm),5
2021-12-19,Bbrood Stollen - 500g (Order by 5 pm),1
2021-12-20,Bbrood Stollen - 500g (Order by 5 pm),8
2021-12-21,Bbrood Stollen - 500g (Order by 5 pm),3
2021-12-22,Bbrood Stollen - 500g (Order by 5 pm),6
2021-12-23,Bbrood Stollen - 500g (Order by 5 pm),5
2021-12-24,Bbrood Stollen - 500g (Order by 5 pm),5
2021-12-25,Bbrood Stollen - 500g (Order by 5 pm),1
2021-12-30,Bbrood Stollen - 500g (Order by 5 pm),1
2021-12-31,Bbrood Stollen - 500g (Order by 5 pm),2
2022-01-03,Bbrood Stollen - 500g (Order by 5 pm),2
