Date,Product Name,Quantity
2023-05-14,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),1
2023-05-15,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),1
2023-05-16,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),3
2023-05-17,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),1
2023-05-19,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),1
2023-05-20,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),2
2023-05-21,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),1
2023-05-22,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),3
2023-05-25,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),2
2023-05-28,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),2
2023-05-29,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),2
2023-05-31,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),4
2023-06-05,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),1
2023-06-09,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),3
2023-06-10,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),1
2023-06-11,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),2
2023-06-14,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),5
2023-06-18,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),3
2023-06-19,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),2
2023-06-21,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),2
2023-06-22,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),2
2023-06-23,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),2
2023-06-24,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),1
2023-06-26,BBROOD Sliced Multigrain Sourdough - 600g (Frozen),1
2023-06-30,BBROOD Frozen Sliced Multigrain Sourdough - 600g,1
2023-07-01,BBROOD Frozen Sliced Multigrain Sourdough - 600g,1
2023-07-02,BBROOD Frozen Sliced Multigrain Sourdough - 600g,1
