Date,Product Name,Quantity
2024-06-01,Bakalland Ba! Forest Fruits Energy Bar - 40g,6
2024-06-02,Bakalland Ba! Forest Fruits Energy Bar - 40g,2
2024-06-05,Bakalland Ba! Forest Fruits Energy Bar - 40g,1
2024-06-07,Bakalland Ba! Forest Fruits Energy Bar - 40g,2
2024-06-09,Bakalland Ba! Forest Fruits Energy Bar - 40g,1
2024-06-10,Bakalland Ba! Forest Fruits Energy Bar - 40g,1
2024-06-11,Bakalland Ba! Forest Fruits Energy Bar - 40g,4
2024-06-13,Bakalland Ba! Forest Fruits Energy Bar - 40g,2
2024-06-17,Bakalland Ba! Forest Fruits Energy Bar - 40g,5
2024-06-20,Bakalland Ba! Forest Fruits Energy Bar - 40g,2
2024-06-24,Bakalland Ba! Forest Fruits Energy Bar - 40g,3
2024-06-26,Bakalland Ba! Forest Fruits Energy Bar - 40g,3
2024-06-28,Bakalland Ba! Forest Fruits Energy Bar - 40g,2
2024-06-29,Bakalland Ba! Forest Fruits Energy Bar - 40g,2
2024-07-02,Bakalland Ba! Forest Fruits Energy Bar - 40g,4
2024-07-06,Bakalland Ba! Forest Fruits Energy Bar - 40g,1
2024-07-08,Bakalland Ba! Forest Fruits Energy Bar - 40g,1
2024-07-12,Bakalland Ba! Forest Fruits Energy Bar - 40g,4
2024-07-14,Bakalland Ba! Forest Fruits Energy Bar - 40g,4
2024-07-22,Bakalland Ba! Forest Fruits Energy Bar - 40g,2
2024-07-26,Bakalland Ba! Forest Fruits Energy Bar - 40g,1
2024-08-05,Bakalland Ba! Forest Fruits Energy Bar - 40g,5
2024-08-06,Bakalland Ba! Forest Fruits Energy Bar - 40g,2
2024-08-09,Bakalland Ba! Forest Fruits Energy Bar - 40g,1
2024-08-13,Bakalland Ba! Forest Fruits Energy Bar - 40g,6
