Date,Product Name,Quantity
2022-09-10,Barilla Angel Hair No.1,2
2022-09-11,Barilla Angel Hair No.1,1
2022-09-12,Barilla Angel Hair No.1,1
2022-09-20,Barilla Angel Hair No.1,3
2022-09-21,Barilla Angel Hair No.1,1
2022-09-22,Barilla Angel Hair No.1,1
2022-09-27,Barilla Angel Hair No.1,1
2022-09-30,Barilla Angel Hair No.1,1
2022-10-03,Barilla Angel Hair No.1,2
2022-10-07,Barilla Angel Hair No.1,1
2022-10-09,Barilla Angel Hair No.1,1
2022-10-10,Barilla Angel Hair No.1,1
2022-10-11,Barilla Angel Hair No.1,1
2022-10-14,Barilla Angel Hair No.1,1
2022-10-17,Barilla Angel Hair No.1,1
2022-10-18,Barilla Angel Hair No.1,1
2022-10-22,Barilla Angel Hair No.1,7
2022-10-23,Barilla Angel Hair No.1,1
2022-10-24,Barilla Angel Hair No.1,3
2022-10-28,Barilla Angel Hair No.1,3
2022-10-29,Barilla Angel Hair No.1,1
2022-10-31,Barilla Angel Hair No.1,4
2022-11-01,Barilla Angel Hair No.1,2
2022-11-21,Barilla Angel Hair No.1,1
2022-11-28,Barilla Angel Hair No.1,1
2022-11-30,Barilla Angel Hair No.1,1
2022-12-02,Barilla Angel Hair No.1,1
2022-12-03,Barilla Angel Hair No.1,1
2022-12-09,Barilla Angel Hair No.1,3
2022-12-10,Barilla Angel Hair No.1,1
2022-12-18,Barilla Angel Hair No.1,1
2022-12-20,Barilla Angel Hair No.1,1
2022-12-22,Barilla Angel Hair No.1,1
2022-12-23,Barilla Angel Hair No.1,1
2022-12-29,Barilla Angel Hair No.1,3
2023-01-05,Barilla Angel Hair No.1,1
2023-01-09,Barilla Angel Hair No.1,1
2023-01-16,Barilla Angel Hair No.1,1
