Date,Product Name,Quantity
2022-02-07,Cirio Canned Cannellini Beans - 400g,6
2022-02-08,Cirio Canned Cannellini Beans - 400g,3
2022-02-12,Cirio Canned Cannellini Beans - 400g,4
2022-02-13,Cirio Canned Cannellini Beans - 400g,2
2022-02-14,Cirio Canned Cannellini Beans - 400g,4
2022-02-15,Cirio Canned Cannellini Beans - 400g,3
2022-02-21,Cirio Canned Cannellini Beans - 400g,6
2022-02-23,Cirio Canned Cannellini Beans - 400g,6
2022-02-24,Cirio Canned Cannellini Beans - 400g,2
2022-03-02,Cirio Canned Cannellini Beans - 400g,2
2022-03-03,Cirio Canned Cannellini Beans - 400g,4
2022-03-09,Cirio Canned Cannellini Beans - 400g,2
2022-03-11,Cirio Canned Cannellini Beans - 400g,2
2022-03-16,Cirio Canned Cannellini Beans - 400g,1
2022-03-18,Cirio Canned Cannellini Beans - 400g,1
2022-03-19,Cirio Canned Cannellini Beans - 400g,1
2022-03-21,Cirio Canned Cannellini Beans - 400g,3
2022-03-23,Cirio Canned Cannellini Beans - 400g,1
2022-03-25,Cirio Canned Cannellini Beans - 400g,2
2022-03-27,Cirio Canned Cannellini Beans - 400g,2
2022-03-28,Cirio Canned Cannellini Beans - 400g,6
2022-03-29,Cirio Canned Cannellini Beans - 400g,4
2022-03-31,Cirio Canned Cannellini Beans - 400g,1
2022-04-01,Cirio Canned Cannellini Beans - 400g,2
2022-04-02,Cirio Canned Cannellini Beans - 400g,2
2022-04-06,Cirio Canned Cannellini Beans - 400g,4
2022-04-08,Cirio Canned Cannellini Beans - 400g,2
2022-04-09,Cirio Canned Cannellini Beans - 400g,2
2022-04-12,Cirio Canned Cannellini Beans - 400g,1
2022-04-18,Cirio Canned Cannellini Beans - 400g,2
2022-04-19,Cirio Canned Cannellini Beans - 400g,2
2022-04-21,Cirio Canned Cannellini Beans - 400g,1
2022-04-25,Cirio Canned Cannellini Beans - 400g,5
2022-04-28,Cirio Canned Cannellini Beans - 400g,2
2022-05-04,Cirio Canned Cannellini Beans - 400g,2
