Date,Product Name,Quantity
2022-02-03,Cirio Canned Lentils - 410g,2
2022-02-06,Cirio Canned Lentils - 410g,4
2022-02-10,Cirio Canned Lentils - 410g,4
2022-02-12,Cirio Canned Lentils - 410g,6
2022-02-13,Cirio Canned Lentils - 410g,2
2022-02-14,Cirio Canned Lentils - 410g,6
2022-02-28,Cirio Canned Lentils - 410g,16
2022-03-03,Cirio Canned Lentils - 410g,4
2022-03-05,Cirio Canned Lentils - 410g,2
2022-03-07,Cirio Canned Lentils - 410g,1
2022-03-08,Cirio Canned Lentils - 410g,2
2022-03-10,Cirio Canned Lentils - 410g,5
2022-03-11,Cirio Canned Lentils - 410g,5
2022-03-19,Cirio Canned Lentils - 410g,2
2022-03-20,Cirio Canned Lentils - 410g,1
2022-03-21,Cirio Canned Lentils - 410g,1
2022-03-28,Cirio Canned Lentils - 410g,1
2022-03-31,Cirio Canned Lentils - 410g,9
2022-04-01,Cirio Canned Lentils - 410g,1
2022-04-08,Cirio Canned Lentils - 410g,2
2022-04-20,Cirio Canned Lentils - 410g,1
2022-04-21,Cirio Canned Lentils - 410g,1
2022-04-25,Cirio Canned Lentils - 410g,1
2022-05-01,Cirio Canned Lentils - 410g,2
2022-05-05,Cirio Canned Lentils - 410g,1
2022-05-09,Cirio Canned Lentils - 410g,3
2022-05-13,Cirio Canned Lentils - 410g,1
2022-05-23,Cirio Canned Lentils - 410g,2
2022-05-24,Cirio Canned Lentils - 410g,1
2022-05-27,Cirio Canned Lentils - 410g,4
2022-05-29,Cirio Canned Lentils - 410g,2
2022-05-30,Cirio Canned Lentils - 410g,10
2022-06-03,Cirio Canned Lentils - 410g,2
2022-06-08,Cirio Canned Lentils - 410g,1
2022-06-11,Cirio Canned Lentils - 410g,1
2022-06-14,Cirio Canned Lentils - 410g,1
2022-06-16,Cirio Canned Lentils - 410g,1
2022-06-20,Cirio Canned Lentils - 410g,1
2022-06-23,Cirio Canned Lentils - 410g,2
2022-06-27,Cirio Canned Lentils - 410g,1
2022-06-30,Cirio Canned Lentils - 410g,4
2022-07-05,Cirio Canned Lentils - 410g,1
2022-07-07,Cirio Canned Lentils - 410g,2
2022-07-16,Cirio Canned Lentils - 410g,4
2022-07-17,Cirio Canned Lentils - 410g,4
2022-07-19,Cirio Canned Lentils - 410g,6
2022-07-20,Cirio Canned Lentils - 410g,1
2022-07-24,Cirio Canned Lentils - 410g,4
2022-07-26,Cirio Canned Lentils - 410g,1
2022-07-29,Cirio Canned Lentils - 410g,1
2022-07-31,Cirio Canned Lentils - 410g,2
2022-08-04,Cirio Canned Lentils - 410g,2
2022-08-08,Cirio Canned Lentils - 410g,1
2022-08-09,Cirio Canned Lentils - 410g,1
2022-08-11,Cirio Canned Lentils - 410g,1
2022-08-14,Cirio Canned Lentils - 410g,1
2022-08-16,Cirio Canned Lentils - 410g,2
2022-08-19,Cirio Canned Lentils - 410g,1
2022-08-22,Cirio Canned Lentils - 410g,1
2022-08-29,Cirio Canned Lentils - 410g,2
2022-08-30,Cirio Canned Lentils - 410g,2
2022-09-01,Cirio Canned Lentils - 410g,4
2022-09-04,Cirio Canned Lentils - 410g,1
2022-09-05,Cirio Canned Lentils - 410g,1
2022-09-08,Cirio Canned Lentils - 410g,2
2022-09-11,Cirio Canned Lentils - 410g,2
2022-09-12,Cirio Canned Lentils - 410g,2
2022-09-13,Cirio Canned Lentils - 410g,4
2022-09-14,Cirio Canned Lentils - 410g,2
2022-09-18,Cirio Canned Lentils - 410g,2
2022-09-20,Cirio Canned Lentils - 410g,1
2022-09-26,Cirio Canned Lentils - 410g,4
2022-09-28,Cirio Canned Lentils - 410g,8
2022-10-02,Cirio Canned Lentils - 410g,1
2022-10-03,Cirio Canned Lentils - 410g,1
2022-10-04,Cirio Canned Lentils - 410g,4
2022-10-05,Cirio Canned Lentils - 410g,1
2022-10-10,Cirio Canned Lentils - 410g,1
2022-10-12,Cirio Canned Lentils - 410g,1
2022-10-14,Cirio Canned Lentils - 410g,1
2022-10-15,Cirio Canned Lentils - 410g,2
2022-10-16,Cirio Canned Lentils - 410g,2
2022-10-18,Cirio Canned Lentils - 410g,2
2022-10-21,Cirio Canned Lentils - 410g,1
2022-10-24,Cirio Canned Lentils - 410g,1
2022-10-28,Cirio Canned Lentils - 410g,1
2022-10-31,Cirio Canned Lentils - 410g,2
2022-11-01,Cirio Canned Lentils - 410g,1
2022-11-06,Cirio Canned Lentils - 410g,1
2022-11-11,Cirio Canned Lentils - 410g,3
2022-11-14,Cirio Canned Lentils - 410g,6
2022-11-15,Cirio Canned Lentils - 410g,3
2022-11-18,Cirio Canned Lentils - 410g,1
2022-11-22,Cirio Canned Lentils - 410g,1
2022-11-24,Cirio Canned Lentils - 410g,3
2022-11-26,Cirio Canned Lentils - 410g,3
2022-11-28,Cirio Canned Lentils - 410g,2
2022-12-05,Cirio Canned Lentils - 410g,2
2022-12-09,Cirio Canned Lentils - 410g,2
2022-12-10,Cirio Canned Lentils - 410g,1
2022-12-12,Cirio Canned Lentils - 410g,3
2022-12-15,Cirio Canned Lentils - 410g,1
2022-12-16,Cirio Canned Lentils - 410g,7
2022-12-20,Cirio Canned Lentils - 410g,2
2022-12-22,Cirio Canned Lentils - 410g,1
2022-12-28,Cirio Canned Lentils - 410g,3
2022-12-29,Cirio Canned Lentils - 410g,1
2023-01-03,Cirio Canned Lentils - 410g,1
2023-01-04,Cirio Canned Lentils - 410g,1
2023-01-05,Cirio Canned Lentils - 410g,4
2023-01-06,Cirio Canned Lentils - 410g,1
2023-01-08,Cirio Canned Lentils - 410g,2
2023-01-09,Cirio Canned Lentils - 410g,3
2023-01-10,Cirio Canned Lentils - 410g,1
2023-01-11,Cirio Canned Lentils - 410g,2
2023-01-12,Cirio Canned Lentils - 410g,5
2023-01-13,Cirio Canned Lentils - 410g,1
2023-01-16,Cirio Canned Lentils - 410g,3
2023-01-17,Cirio Canned Lentils - 410g,2
2023-01-19,Cirio Canned Lentils - 410g,1
2023-01-20,Cirio Canned Lentils - 410g,4
2023-01-21,Cirio Canned Lentils - 410g,2
2023-01-22,Cirio Canned Lentils - 410g,3
2023-01-23,Cirio Canned Lentils - 410g,2
2023-01-27,Cirio Canned Lentils - 410g,2
2023-01-29,Cirio Canned Lentils - 410g,1
2023-01-30,Cirio Canned Lentils - 410g,2
2023-01-31,Cirio Canned Lentils - 410g,4
2023-02-05,Cirio Canned Lentils - 410g,2
2023-02-06,Cirio Canned Lentils - 410g,2
2023-02-09,Cirio Canned Lentils - 410g,1
2023-02-12,Cirio Canned Lentils - 410g,4
2023-02-16,Cirio Canned Lentils - 410g,2
2023-02-17,Cirio Canned Lentils - 410g,2
2023-02-19,Cirio Canned Lentils - 410g,1
2023-02-21,Cirio Canned Lentils - 410g,1
2023-02-22,Cirio Canned Lentils - 410g,2
2023-02-25,Cirio Canned Lentils - 410g,3
2023-02-26,Cirio Canned Lentils - 410g,1
2023-02-28,Cirio Canned Lentils - 410g,6
2023-03-01,Cirio Canned Lentils - 410g,1
2023-03-05,Cirio Canned Lentils - 410g,4
2023-03-06,Cirio Canned Lentils - 410g,1
2023-03-11,Cirio Canned Lentils - 410g,2
2023-03-13,Cirio Canned Lentils - 410g,3
2023-03-15,Cirio Canned Lentils - 410g,1
2023-03-17,Cirio Canned Lentils - 410g,1
2023-03-19,Cirio Canned Lentils - 410g,1
2023-03-20,Cirio Canned Lentils - 410g,7
2023-03-21,Cirio Canned Lentils - 410g,1
