Date,Product Name,Quantity
2024-06-03,Haribo Goldbears - 80g,2
2024-06-04,Haribo Goldbears - 80g,1
2024-06-05,Haribo Goldbears - 80g,1
2024-06-07,Haribo Goldbears - 80g,4
2024-06-09,Haribo Goldbears - 80g,1
2024-06-12,Haribo Goldbears - 80g,4
2024-06-14,Haribo Goldbears - 80g,1
2024-06-15,Haribo Goldbears - 80g,1
2024-06-17,Haribo Goldbears - 80g,1
2024-06-18,Haribo Goldbears - 80g,2
2024-06-20,Haribo Goldbears - 80g,2
2024-06-21,Haribo Goldbears - 80g,2
2024-06-22,Haribo Goldbears - 80g,1
2024-06-26,Haribo Goldbears - 80g,4
2024-06-28,Haribo Goldbears - 80g,3
2024-07-01,Haribo Goldbears - 80g,3
2024-07-02,Haribo Goldbears - 80g,3
2024-07-03,Haribo Goldbears - 80g,1
2024-07-05,Haribo Goldbears - 80g,2
2024-07-06,Haribo Goldbears - 80g,1
2024-07-10,Haribo Goldbears - 80g,13
2024-07-15,Haribo Goldbears - 80g,2
2024-07-16,Haribo Goldbears - 80g,3
2024-07-19,Haribo Goldbears - 80g,2
2024-07-20,Haribo Goldbears - 80g,1
2024-07-22,Haribo Goldbears - 80g,3
2024-07-24,Haribo Goldbears - 80g,1
2024-07-27,Haribo Goldbears - 80g,3
2024-07-28,Haribo Goldbears - 80g,1
2024-07-31,Haribo Goldbears - 80g,1
2024-08-01,Haribo Goldbears - 80g,1
2024-08-02,Haribo Goldbears - 80g,3
2024-08-05,Haribo Goldbears - 80g,3
2024-08-06,Haribo Goldbears - 80g,1
2024-08-07,Haribo Goldbears - 80g,1
