Date,Product Name,Quantity
2022-03-16,Krackles Bang Bang Chilli Flavour Crisps,1
2022-03-23,Krackles Bang Bang Chilli Flavour Crisps,1
2022-03-25,Krackles Bang Bang Chilli Flavour Crisps,2
2022-04-02,Krackles Bang Bang Chilli Flavour Crisps,1
2022-04-05,Krackles Bang Bang Chilli Flavour Crisps,1
2022-04-07,Krackles Bang Bang Chilli Flavour Crisps,2
2022-04-28,Krackles Bang Bang Chilli Flavour Crisps - 125g,2
2022-05-16,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-05-27,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-06-02,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-06-13,Krackles Bang Bang Chilli Flavour Crisps - 125g,3
2022-06-15,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-06-16,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-06-18,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-06-25,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-06-30,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-07-05,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-07-16,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-07-26,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-08-06,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-08-08,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-08-18,Krackles Bang Bang Chilli Flavour Crisps - 125g,2
2022-08-19,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-08-21,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-08-25,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-09-13,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-12-09,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-12-17,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2022-12-28,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2023-01-03,Krackles Bang Bang Chilli Flavour Crisps - 125g,2
2023-01-12,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2023-01-14,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2023-01-18,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2023-01-27,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2023-01-31,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2023-02-02,Krackles Bang Bang Chilli Flavour Crisps - 125g,2
2023-02-03,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2023-02-21,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
2023-03-03,Krackles Bang Bang Chilli Flavour Crisps - 125g,1
