Date,Product Name,Quantity
2022-04-16,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-04-20,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-04-21,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,4
2022-04-25,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,2
2022-05-04,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-05-08,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-05-13,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-05-14,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,2
2022-05-17,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,3
2022-05-18,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-05-19,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-05-24,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,2
2022-05-25,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-05-26,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-05-27,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,3
2022-06-01,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,2
2022-06-02,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-06-06,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-06-08,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-06-09,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,4
2022-06-10,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,2
2022-06-13,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,5
2022-06-15,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-06-16,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-06-18,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-06-22,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-06-24,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,2
2022-06-30,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-07-01,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-07-02,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-07-04,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,4
2022-07-06,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,2
2022-07-08,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,4
2022-07-13,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,2
2022-07-15,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,3
2022-07-17,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-07-22,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,2
2022-07-23,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-07-25,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-07-29,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,2
2022-07-30,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-08-02,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-09-24,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-09-25,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-09-27,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-09-30,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-10-01,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-10-04,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-10-05,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-10-08,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-10-11,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-10-13,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-10-14,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,6
2022-10-17,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,3
2022-10-20,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-10-23,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,3
2022-10-29,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-11-29,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-12-01,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,3
2022-12-06,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,1
2022-12-08,Krackles Zingy Salt and Vinegar Flavour Crisps - 125g,2
