Date,Product Name,Quantity
2019-05-13,Maize Tortilla Chips - Millet - 40g,1
2019-05-16,Maize Tortilla Chips - Millet - 40g,1
2019-05-17,Maize Tortilla Chips - Millet - 40g,1
2019-05-19,Maize Tortilla Chips - Millet - 40g,1
2019-05-23,Maize Tortilla Chips - Millet - 40g,2
2019-05-24,Maize Tortilla Chips - Millet - 40g,1
2019-06-11,Maize Tortilla Chips - Millet - 40g,1
2019-06-14,Maize Tortilla Chips - Millet - 40g,2
2019-06-21,Maize Tortilla Chips - Millet - 40g,1
2019-07-04,Maize Tortilla Chips - Millet - 40g,4
2019-07-09,Maize Tortilla Chips - Millet - 40g,2
2019-07-10,Maize Tortilla Chips - Millet - 40g,1
2019-08-06,Maize Tortilla Chips - Millet - 40g,1
2019-08-26,Maize Tortilla Chips - Millet - 40g,1
2019-09-06,Maize Tortilla Chips - Millet - 40g,1
2019-09-30,Maize Tortilla Chips - Millet - 40g,1
2019-10-03,Maize Tortilla Chips - Millet - 40g,4
2019-10-08,Maize Tortilla Chips - Millet - 40g,2
2019-10-28,Maize Tortilla Chips - Millet - 40g,1
2019-11-08,Maize Tortilla Chips - Millet - 40g,2
2019-11-11,Maize Tortilla Chips - Millet - 40g,1
2019-11-23,Maize Tortilla Chips - Millet - 40g,1
2019-11-24,Maize Tortilla Chips - Millet - 40g,1
2019-12-06,Maize Tortilla Chips - Millet - 40g,1
2019-12-11,Maize Tortilla Chips - Millet - 40g,1
2019-12-14,Maize Tortilla Chips - Millet - 40g,1
2019-12-16,Maize Tortilla Chips - Millet - 40g,1
2019-12-19,Maize Tortilla Chips - Millet - 40g,1
2020-01-06,Maize Tortilla Chips - Millet 40g,2
2020-01-09,Maize Tortilla Chips - Millet 40g,2
2020-01-17,Maize Tortilla Chips - Millet 40g,1
2020-01-20,Maize Tortilla Chips - Millet 40g,3
2020-01-23,Maize Tortilla Chips - Millet 40g,1
2020-02-03,Maize Tortilla Chips - Millet 40g,2
2020-02-26,Maize Tortilla Chips - Millet 40g,1
2020-03-11,Maize Tortilla Chips - Millet 40g,1
2020-03-14,Maize Tortilla Chips - Millet 40g,2
2020-03-16,Maize Tortilla Chips - Millet 40g,3
2020-03-19,Maize Tortilla Chips - Millet 40g,1
2020-03-26,Maize Tortilla Chips - Millet 40g,4
2020-03-27,Maize Tortilla Chips - Millet 40g,8
2020-03-30,Maize Tortilla Chips - Millet 40g,1
2020-04-01,Maize Tortilla Chips - Millet 40g,3
2020-04-09,Maize Tortilla Chips - Millet 40g,1
2020-04-14,Maize Tortilla Chips - Millet 40g,3
2020-04-18,Maize Tortilla Chips - Millet 40g,1
2020-04-25,Maize Tortilla Chips - Millet 40g,12
2020-04-26,Maize Tortilla Chips - Millet 40g,2
2020-05-02,Maize Tortilla Chips - Millet 40g,2
2020-05-04,Maize Tortilla Chips - Millet 40g,4
2020-05-06,Maize Tortilla Chips - Millet 40g,1
2020-05-08,Maize Tortilla Chips - Millet 40g,4
2020-05-11,Maize Tortilla Chips - Millet 40g,5
2020-05-12,Maize Tortilla Chips - Millet 40g,4
2020-05-16,Maize Tortilla Chips - Millet 40g,5
2020-05-18,Maize Tortilla Chips - Millet 40g,6
2020-05-20,Maize Tortilla Chips - Millet 40g,1
2020-05-22,Maize Tortilla Chips - Millet 40g,2
2020-05-23,Maize Tortilla Chips - Millet 40g,7
2020-05-25,Maize Tortilla Chips - Millet 40g,5
2020-05-27,Maize Tortilla Chips - Millet 40g,6
2020-05-28,Maize Tortilla Chips - Millet 40g,1
2020-05-31,Maize Tortilla Chips - Millet 40g,7
2020-06-22,Maize Tortilla Chips - Millet 40g,4
2020-06-26,Maize Tortilla Chips - Millet 40g,3
2020-07-02,Maize Tortilla Chips - Millet 40g,1
2020-07-04,Maize Tortilla Chips - Millet 40g,1
2020-07-08,Maize Tortilla Chips - Millet 40g,5
2020-07-09,Maize Tortilla Chips - Millet 40g,5
2020-07-10,Maize Tortilla Chips - Millet 40g,1
2020-07-14,Maize Tortilla Chips - Millet 40g,6
2020-07-15,Maize Tortilla Chips - Millet 40g,1
2020-07-21,Maize Tortilla Chips - Millet 40g,9
2020-07-23,Maize Tortilla Chips - Millet 40g,1
2020-07-24,Maize Tortilla Chips - Millet 40g,2
2020-07-30,Maize Tortilla Chips - Millet 40g,5
2020-08-01,Maize Tortilla Chips - Millet 40g,1
2020-08-04,Maize Tortilla Chips - Millet 40g,2
2020-08-10,Maize Tortilla Chips - Millet 40g,2
2020-08-13,Maize Tortilla Chips - Millet 40g,1
2020-08-14,Maize Tortilla Chips - Millet 40g,2
2020-08-19,Maize Tortilla Chips - Millet 40g,1
2020-08-20,Maize Tortilla Chips - Millet 40g,4
2020-09-03,Maize Tortilla Chips - Millet 40g,5
2020-09-11,Maize Tortilla Chips - Millet 40g,3
2020-09-17,Maize Tortilla Chips - Millet 40g,2
2020-09-24,Maize Tortilla Chips - Millet 40g,5
2020-09-26,Maize Tortilla Chips - Millet 40g,1
2020-10-01,Maize Tortilla Chips - Millet 40g,4
2020-10-02,Maize Tortilla Chips - Millet 40g,2
2020-10-06,Maize Tortilla Chips - Millet 40g,1
2020-10-07,Maize Tortilla Chips - Millet 40g,1
2020-10-12,Maize Tortilla Chips - Millet 40g,3
2020-10-15,Maize Tortilla Chips - Millet 40g,4
2020-10-23,Maize Tortilla Chips - Millet 40g,1
2020-11-05,Maize Tortilla Chips - Millet 40g,3
2020-11-12,Maize Tortilla Chips - Millet 40g,2
2020-11-16,Maize Tortilla Chips - Millet 40g,4
2020-11-27,Maize Tortilla Chips - Millet 40g,1
2020-12-09,Maize Tortilla Chips - Millet 40g,2
2020-12-20,Maize Tortilla Chips - Millet 40g,1
2020-12-29,Maize Tortilla Chips - Millet 40g,1
2021-01-06,Maize Tortilla Chips - Millet 40g,4
2021-01-21,Maize Tortilla Chips - Millet 40g,1
2021-01-28,Maize Tortilla Chips - Millet 40g,10
2021-02-03,Maize Tortilla Chips - Millet 40g,1
2021-02-04,Maize Tortilla Chips - Millet 40g,1
2021-02-06,Maize Tortilla Chips - Millet 40g,1
2021-02-18,Maize Tortilla Chips - Millet 40g,2
2021-02-26,Maize Tortilla Chips - Millet 40g,3
2021-03-05,Maize Tortilla Chips - Millet 40g,1
2021-03-18,Maize Tortilla Chips - Millet - 40g,4
2021-03-22,Maize Tortilla Chips - Millet - 40g,2
2021-03-29,Maize Tortilla Chips - Millet - 40g,1
2021-04-07,Maize Tortilla Chips - Millet - 40g,5
2021-04-08,Maize Tortilla Chips - Millet - 40g,1
2021-04-30,Maize Tortilla Chips - Millet - 40g,2
2021-05-03,Maize Tortilla Chips - Millet - 40g,1
2021-05-08,Maize Tortilla Chips - Millet - 40g,2
2021-06-07,Maize Tortilla Chips - Millet - 40g,1
2021-06-18,Maize Tortilla Chips - Millet - 40g,1
2021-06-24,Maize Tortilla Chips - Millet - 40g,2
2021-08-12,Maize Tortilla Chips - Millet - 40g,2
2021-08-20,Maize Tortilla Chips - Millet - 40g,1
2021-08-27,Maize Tortilla Chips - Millet - 40g,1
2021-09-11,Maize Tortilla Chips - Millet - 40g,5
2021-09-30,Maize Tortilla Chips - Millet - 40g,2
2021-11-12,Maize Tortilla Chips - Millet - 40g,1
2021-11-13,Maize Tortilla Chips - Millet - 40g,1
2021-12-17,Maize Tortilla Chips - Millet - 40g,1
2021-12-21,Maize Tortilla Chips - Millet - 40g,2
2021-12-28,Maize Tortilla Chips - Millet - 40g,2
2021-12-31,Maize Tortilla Chips - Millet - 40g,3
2022-01-20,Maize Tortilla Chips - Millet - 40g,2
2022-02-03,Maize Tortilla Chips - Millet - 40g,4
2022-02-05,Maize Tortilla Chips - Millet - 40g,2
2022-02-14,Maize Tortilla Chips - Millet - 40g,2
2022-02-15,Maize Tortilla Chips - Millet - 40g,4
2022-02-20,Maize Tortilla Chips - Millet - 40g,6
2022-02-22,Maize Tortilla Chips - Millet - 40g,2
2022-02-25,Maize Tortilla Chips - Millet - 40g,2
2022-03-02,Maize Tortilla Chips - Millet - 40g,2
2022-03-04,Maize Tortilla Chips - Millet - 40g,2
2022-03-15,Maize Tortilla Chips - Millet - 40g,1
2022-03-19,Maize Tortilla Chips - Millet - 40g,2
2022-04-23,Maize Tortilla Chips - Millet - 40g,2
2022-06-18,Maize Tortilla Chips - Millet - 40g,1
2022-06-20,Maize Tortilla Chips - Millet - 40g,1
2022-06-28,Maize Tortilla Chips - Millet - 40g,3
2022-07-08,Maize Tortilla Chips - Millet - 40g,3
2022-07-14,Maize Tortilla Chips - Millet - 40g,5
2022-07-16,Maize Tortilla Chips - Millet - 40g,2
2022-08-09,Maize Tortilla Chips - Millet - 40g,1
2022-08-11,Maize Tortilla Chips - Millet - 40g,3
2022-09-22,Maize Tortilla Chips - Millet - 40g,6
2022-09-29,Maize Tortilla Chips - Millet - 40g,2
2022-10-02,Maize Tortilla Chips - Millet - 40g,4
2022-10-28,Bdelo Maize & Millet Tortilla Chips - Millet - 40g,1
2022-10-30,Bdelo Maize & Millet Tortilla Chips - Millet - 40g,1
2022-11-19,Bdelo Maize & Millet Tortilla Chips - Millet - 40g,2
2022-11-22,Bdelo Maize & Millet Tortilla Chips - Millet - 40g,2
